
开始回测股票: 300355 - 蒙草生态

--- 蒙草生态 (300355) 回测开始 ---
初始持仓数量: 190114, 初始股票价格: 5.26, 初始持仓市值: 999999.64, 初始现金: 1000000.00, 初始总资产: 1999999.64
交易时间: 2025-02-24 09:31:00 | 类型: 买入 | 价格: 5.21 | 数量: 1901 | 成交额: 9899.27 | 印花税: 0.00 | 佣金: 2.97 | 持仓数量: 192015, 现金数量: 990097.76, 总资产: 1989996.67
交易时间: 2025-02-24 09:31:00 | 类型: 买入 | 价格: 5.16 | 数量: 1901 | 成交额: 9800.27 | 印花税: 0.00 | 佣金: 2.94 | 持仓数量: 193916, 现金数量: 980294.55, 总资产: 1979994.74
交易时间: 2025-02-24 09:32:00 | 类型: 买入 | 价格: 5.10 | 数量: 1901 | 成交额: 9702.27 | 印花税: 0.00 | 佣金: 2.91 | 持仓数量: 195817, 现金数量: 970589.37, 总资产: 1969994.83
交易时间: 2025-02-24 09:32:00 | 类型: 买入 | 价格: 5.05 | 数量: 1901 | 成交额: 9605.25 | 印花税: 0.00 | 佣金: 2.88 | 持仓数量: 197718, 现金数量: 960981.23, 总资产: 1959997.90
交易时间: 2025-02-24 09:33:00 | 类型: 卖出 | 价格: 5.10 | 数量: 1901 | 成交额: 9701.30 | 印花税: 9.70 | 佣金: 2.91 | 持仓数量: 195817, 现金数量: 970669.92, 总资产: 1969975.45
交易时间: 2025-02-24 09:36:00 | 类型: 卖出 | 价格: 5.15 | 数量: 1901 | 成交额: 9798.31 | 印花税: 9.80 | 佣金: 2.94 | 持仓数量: 193916, 现金数量: 980455.50, 总资产: 1979955.77
交易时间: 2025-02-24 09:41:00 | 类型: 买入 | 价格: 5.10 | 数量: 1901 | 成交额: 9700.33 | 印花税: 0.00 | 佣金: 2.91 | 持仓数量: 195817, 现金数量: 970752.26, 总资产: 1969957.86
交易时间: 2025-02-24 10:14:00 | 类型: 卖出 | 价格: 5.15 | 数量: 1901 | 成交额: 9797.33 | 印花税: 9.80 | 佣金: 2.94 | 持仓数量: 193916, 现金数量: 980536.86, 总资产: 1979937.17
交易时间: 2025-02-24 10:16:00 | 类型: 卖出 | 价格: 5.21 | 数量: 1901 | 成交额: 9895.31 | 印花税: 9.90 | 佣金: 2.97 | 持仓数量: 192015, 现金数量: 990419.30, 总资产: 1989918.31
交易时间: 2025-02-24 10:38:00 | 类型: 卖出 | 价格: 5.26 | 数量: 1901 | 成交额: 9994.26 | 印花税: 9.99 | 佣金: 3.00 | 持仓数量: 190114, 现金数量: 1000400.57, 总资产: 1999900.31
交易时间: 2025-02-24 10:45:00 | 类型: 买入 | 价格: 5.20 | 数量: 1901 | 成交额: 9894.32 | 印花税: 0.00 | 佣金: 2.97 | 持仓数量: 192015, 现金数量: 990503.28, 总资产: 1989902.35
交易时间: 2025-02-24 14:02:00 | 类型: 买入 | 价格: 5.15 | 数量: 1901 | 成交额: 9795.38 | 印花税: 0.00 | 佣金: 2.94 | 持仓数量: 193916, 现金数量: 980704.97, 总资产: 1979905.42
交易时间: 2025-02-25 09:31:00 | 类型: 买入 | 价格: 5.10 | 数量: 1901 | 成交额: 9697.42 | 印花税: 0.00 | 佣金: 2.91 | 持仓数量: 195817, 现金数量: 971004.64, 总资产: 1969910.50
交易时间: 2025-02-25 09:33:00 | 类型: 卖出 | 价格: 5.15 | 数量: 1901 | 成交额: 9794.40 | 印花税: 9.79 | 佣金: 2.94 | 持仓数量: 193916, 现金数量: 980786.30, 总资产: 1979886.83
交易时间: 2025-02-25 09:34:00 | 类型: 卖出 | 价格: 5.20 | 数量: 1901 | 成交额: 9892.34 | 印花税: 9.89 | 佣金: 2.97 | 持仓数量: 192015, 现金数量: 990665.78, 总资产: 1989864.97
交易时间: 2025-02-25 09:34:00 | 类型: 卖出 | 价格: 5.26 | 数量: 1901 | 成交额: 9991.26 | 印花税: 9.99 | 佣金: 3.00 | 持仓数量: 190114, 现金数量: 1000644.06, 总资产: 1999843.98
交易时间: 2025-02-25 10:17:00 | 类型: 卖出 | 价格: 5.31 | 数量: 1901 | 成交额: 10091.18 | 印花税: 10.09 | 佣金: 3.03 | 持仓数量: 188213, 现金数量: 1010722.11, 总资产: 2009822.86
交易时间: 2025-02-25 10:17:00 | 类型: 买入 | 价格: 5.26 | 数量: 1901 | 成交额: 9990.26 | 印花税: 0.00 | 佣金: 3.00 | 持仓数量: 190114, 现金数量: 1000728.85, 总资产: 1999828.85
交易时间: 2025-02-25 10:18:00 | 类型: 卖出 | 价格: 5.31 | 数量: 1901 | 成交额: 10090.17 | 印花税: 10.09 | 佣金: 3.03 | 持仓数量: 188213, 现金数量: 1010805.90, 总资产: 2009806.74
交易时间: 2025-02-25 10:38:00 | 类型: 买入 | 价格: 5.25 | 数量: 1901 | 成交额: 9989.27 | 印花税: 0.00 | 佣金: 3.00 | 持仓数量: 190114, 现金数量: 1000813.64, 总资产: 1999813.73
交易时间: 2025-02-25 13:40:00 | 类型: 买入 | 价格: 5.20 | 数量: 1901 | 成交额: 9889.37 | 印花税: 0.00 | 佣金: 2.97 | 持仓数量: 192015, 现金数量: 990921.30, 总资产: 1989820.76
交易时间: 2025-02-25 14:49:00 | 类型: 买入 | 价格: 5.15 | 数量: 1901 | 成交额: 9790.48 | 印花税: 0.00 | 佣金: 2.94 | 持仓数量: 193916, 现金数量: 981127.89, 总资产: 1979828.83
交易时间: 2025-02-26 09:31:00 | 类型: 卖出 | 价格: 5.20 | 数量: 1901 | 成交额: 9888.38 | 印花税: 9.89 | 佣金: 2.97 | 持仓数量: 192015, 现金数量: 991003.41, 总资产: 1989802.99
交易时间: 2025-02-26 09:31:00 | 类型: 卖出 | 价格: 5.25 | 数量: 1901 | 成交额: 9987.27 | 印花税: 9.99 | 佣金: 3.00 | 持仓数量: 190114, 现金数量: 1000977.70, 总资产: 1999778.00
交易时间: 2025-02-26 09:36:00 | 类型: 卖出 | 价格: 5.31 | 数量: 1901 | 成交额: 10087.14 | 印花税: 10.09 | 佣金: 3.03 | 持仓数量: 188213, 现金数量: 1011051.73, 总资产: 2009752.89
交易时间: 2025-02-26 09:42:00 | 类型: 卖出 | 价格: 5.36 | 数量: 1901 | 成交额: 10188.01 | 印花税: 10.19 | 佣金: 3.06 | 持仓数量: 186312, 现金数量: 1021226.49, 总资产: 2019726.66
交易时间: 2025-02-26 09:55:00 | 类型: 买入 | 价格: 5.31 | 数量: 1901 | 成交额: 10086.13 | 印花税: 0.00 | 佣金: 3.03 | 持仓数量: 188213, 现金数量: 1011137.34, 总资产: 2009738.63
交易时间: 2025-02-26 11:05:00 | 类型: 卖出 | 价格: 5.36 | 数量: 1901 | 成交额: 10186.99 | 印花税: 10.19 | 佣金: 3.06 | 持仓数量: 186312, 现金数量: 1021311.08, 总资产: 2019711.40
交易时间: 2025-02-26 11:05:00 | 类型: 买入 | 价格: 5.31 | 数量: 1901 | 成交额: 10085.12 | 印花税: 0.00 | 佣金: 3.03 | 持仓数量: 188213, 现金数量: 1011222.94, 总资产: 2009724.37
交易时间: 2025-02-26 11:06:00 | 类型: 卖出 | 价格: 5.36 | 数量: 1901 | 成交额: 10185.97 | 印花税: 10.19 | 佣金: 3.06 | 持仓数量: 186312, 现金数量: 1021395.67, 总资产: 2019696.14
交易时间: 2025-02-26 11:17:00 | 类型: 买入 | 价格: 5.30 | 数量: 1901 | 成交额: 10084.11 | 印花税: 0.00 | 佣金: 3.03 | 持仓数量: 188213, 现金数量: 1011308.53, 总资产: 2009710.11
交易时间: 2025-02-26 14:04:00 | 类型: 买入 | 价格: 5.25 | 数量: 1901 | 成交额: 9983.27 | 印花税: 0.00 | 佣金: 2.99 | 持仓数量: 190114, 现金数量: 1001322.26, 总资产: 1999723.10
交易时间: 2025-02-26 14:53:00 | 类型: 卖出 | 价格: 5.30 | 数量: 1901 | 成交额: 10083.11 | 印花税: 10.08 | 佣金: 3.02 | 持仓数量: 188213, 现金数量: 1011392.26, 总资产: 2009694.00
交易时间: 2025-02-27 09:31:00 | 类型: 卖出 | 价格: 5.36 | 数量: 1901 | 成交额: 10183.94 | 印花税: 10.18 | 佣金: 3.06 | 持仓数量: 186312, 现金数量: 1021562.96, 总资产: 2019663.78
交易时间: 2025-02-27 09:31:00 | 类型: 买入 | 价格: 5.30 | 数量: 1901 | 成交额: 10082.10 | 印花税: 0.00 | 佣金: 3.02 | 持仓数量: 188213, 现金数量: 1011477.83, 总资产: 2009679.75
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 5.36 | 数量: 1901 | 成交额: 10182.92 | 印花税: 10.18 | 佣金: 3.05 | 持仓数量: 186312, 现金数量: 1021647.52, 总资产: 2019648.53
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 5.41 | 数量: 1901 | 成交额: 10284.75 | 印花税: 10.28 | 佣金: 3.09 | 持仓数量: 184411, 现金数量: 1031918.89, 总资产: 2029615.17
交易时间: 2025-02-27 09:45:00 | 类型: 买入 | 价格: 5.36 | 数量: 1901 | 成交额: 10181.90 | 印花税: 0.00 | 佣金: 3.05 | 持仓数量: 186312, 现金数量: 1021733.94, 总资产: 2019635.15
交易时间: 2025-02-27 09:52:00 | 类型: 买入 | 价格: 5.30 | 数量: 1901 | 成交额: 10080.08 | 印花税: 0.00 | 佣金: 3.02 | 持仓数量: 188213, 现金数量: 1011650.83, 总资产: 2009653.11
交易时间: 2025-02-27 10:05:00 | 类型: 卖出 | 价格: 5.36 | 数量: 1901 | 成交额: 10180.88 | 印花税: 10.18 | 佣金: 3.05 | 持仓数量: 186312, 现金数量: 1021818.48, 总资产: 2019619.90
交易时间: 2025-02-27 10:07:00 | 类型: 卖出 | 价格: 5.41 | 数量: 1901 | 成交额: 10282.69 | 印花税: 10.28 | 佣金: 3.08 | 持仓数量: 184411, 现金数量: 1032087.80, 总资产: 2029584.55
交易时间: 2025-02-27 10:42:00 | 类型: 卖出 | 价格: 5.46 | 数量: 1901 | 成交额: 10385.52 | 印花税: 10.39 | 佣金: 3.12 | 持仓数量: 182510, 现金数量: 1042459.82, 总资产: 2039546.02
