股票代码: 000021
股票名称: 深科技
所属板块: 消费电子
分时数据时间范围: 20250929 到 20251013
K线数据时间范围: 20250714 到 20251013
小时量能数据时间范围: 20250915 到 20251013

=== 分时成交数据 ===
ticktime,price,volume,prev_price,kind
2025-09-29 09:25:00,25.11,1615500,0.0,U
2025-09-29 09:30:00,25.14,442647,25.11,U
2025-09-29 09:30:03,25.18,1592262,25.14,E
2025-09-29 09:30:06,25.35,372900,25.18,U
2025-09-29 09:30:09,25.39,165500,25.35,U
2025-09-29 09:30:12,25.43,161407,25.39,U
2025-09-29 09:30:15,25.49,309700,25.43,U
2025-09-29 09:30:18,25.51,371900,25.49,U
2025-09-29 09:30:21,25.5,424700,25.51,D
2025-09-29 09:30:24,25.49,320500,25.5,D
2025-09-29 09:30:27,25.5,545545,25.49,U
2025-09-29 09:30:30,25.53,334700,25.5,U
2025-09-29 09:30:33,25.55,364984,25.53,U
2025-09-29 09:30:36,25.56,272916,25.55,U
2025-09-29 09:30:39,25.6,441884,25.56,U
2025-09-29 09:30:42,25.68,465000,25.6,U
2025-09-29 09:30:45,25.73,276600,25.68,U
2025-09-29 09:30:48,25.73,175200,25.73,D
2025-09-29 09:30:51,25.73,377700,25.73,U
2025-09-29 09:30:54,25.69,437000,25.73,D
2025-09-29 09:30:57,25.67,216200,25.69,D
2025-09-29 09:31:00,25.67,584900,25.67,U
2025-09-29 09:31:03,25.62,529600,25.67,D
2025-09-29 09:31:06,25.57,375700,25.62,D
2025-09-29 09:31:09,25.56,333455,25.57,D
2025-09-29 09:31:12,25.55,347300,25.56,D
2025-09-29 09:31:15,25.54,160700,25.55,E
2025-09-29 09:31:18,25.56,413000,25.54,U
2025-09-29 09:31:21,25.55,336800,25.56,D
2025-09-29 09:31:24,25.53,403900,25.55,D
2025-09-29 09:31:27,25.62,347150,25.53,U
2025-09-29 09:31:30,25.5,430200,25.62,D
2025-09-29 09:31:33,25.56,62300,25.5,U
2025-09-29 09:31:36,25.54,112400,25.56,D
2025-09-29 09:31:39,25.53,113600,25.54,D
2025-09-29 09:31:42,25.5,88500,25.53,D
2025-09-29 09:31:45,25.47,153000,25.5,D
2025-09-29 09:31:48,25.45,172100,25.47,D
2025-09-29 09:31:51,25.44,130100,25.45,D
2025-09-29 09:31:54,25.43,112600,25.44,D
2025-09-29 09:31:57,25.4,102500,25.43,D
2025-09-29 09:32:00,25.39,110500,25.4,E
2025-09-29 09:32:03,25.39,135416,25.39,U
2025-09-29 09:32:06,25.37,173700,25.39,E
2025-09-29 09:32:09,25.4,392300,25.37,U
2025-09-29 09:32:12,25.47,450400,25.4,U
2025-09-29 09:32:15,25.56,251200,25.47,U
2025-09-29 09:32:18,25.62,396400,25.56,U
2025-09-29 09:32:21,25.66,138400,25.62,U
2025-09-29 09:32:24,25.69,146300,25.66,U
2025-09-29 09:32:27,25.7,197800,25.69,U
2025-09-29 09:32:30,25.73,252353,25.7,U
2025-09-29 09:32:33,25.75,337000,25.73,U
2025-09-29 09:32:36,25.76,237000,25.75,U
2025-09-29 09:32:39,25.75,316500,25.76,D
2025-09-29 09:32:42,25.79,363100,25.75,U
2025-09-29 09:32:45,25.78,292000,25.79,D
2025-09-29 09:32:48,25.75,296000,25.78,U
2025-09-29 09:32:51,25.76,358100,25.75,U
2025-09-29 09:32:54,25.75,315700,25.76,D
2025-09-29 09:32:57,25.68,279700,25.75,D
2025-09-29 09:33:00,25.69,168900,25.68,U
2025-09-29 09:33:03,25.72,105300,25.69,U
2025-09-29 09:33:06,25.73,106200,25.72,U
2025-09-29 09:33:09,25.73,228500,25.73,D
2025-09-29 09:33:12,25.71,189700,25.73,D
2025-09-29 09:33:15,25.72,220300,25.71,U
