股票代码: 000100
股票名称: TCL科技
所属板块: 光学光电子
分时数据时间范围: 20250929 到 20251013
K线数据时间范围: 20250714 到 20251013
小时量能数据时间范围: 20250915 到 20251013

=== 分时成交数据 ===
ticktime,price,volume,prev_price,kind
2025-09-29 09:25:00,4.34,896400,0.0,D
2025-09-29 09:30:00,4.34,159700,4.34,U
2025-09-29 09:30:03,4.33,1345700,4.34,D
2025-09-29 09:30:06,4.33,1029300,4.33,D
2025-09-29 09:30:09,4.32,294900,4.33,D
2025-09-29 09:30:12,4.32,588600,4.32,D
2025-09-29 09:30:15,4.33,292000,4.32,U
2025-09-29 09:30:18,4.31,657400,4.33,D
2025-09-29 09:30:21,4.32,189200,4.31,U
2025-09-29 09:30:24,4.32,519200,4.32,U
2025-09-29 09:30:27,4.31,205000,4.32,D
2025-09-29 09:30:30,4.32,416700,4.31,U
2025-09-29 09:30:33,4.32,252800,4.32,U
2025-09-29 09:30:36,4.32,1351700,4.32,U
2025-09-29 09:30:39,4.31,270500,4.32,D
2025-09-29 09:30:42,4.31,1317000,4.31,U
2025-09-29 09:30:45,4.31,185600,4.31,D
2025-09-29 09:30:48,4.31,29900,4.31,D
2025-09-29 09:30:51,4.32,89700,4.31,U
2025-09-29 09:30:54,4.32,90800,4.32,U
2025-09-29 09:30:57,4.32,83800,4.32,U
2025-09-29 09:31:00,4.32,92900,4.32,U
2025-09-29 09:31:03,4.32,66500,4.32,U
2025-09-29 09:31:06,4.32,23200,4.32,U
2025-09-29 09:31:09,4.31,58100,4.32,D
2025-09-29 09:31:12,4.31,151500,4.31,D
2025-09-29 09:31:15,4.31,262500,4.31,D
2025-09-29 09:31:18,4.31,2049300,4.31,D
2025-09-29 09:31:21,4.31,186000,4.31,U
2025-09-29 09:31:24,4.31,722100,4.31,U
2025-09-29 09:31:27,4.31,74900,4.31,U
2025-09-29 09:31:30,4.31,55000,4.31,U
2025-09-29 09:31:33,4.31,41900,4.31,U
2025-09-29 09:31:36,4.31,53700,4.31,U
2025-09-29 09:31:39,4.31,20800,4.31,U
2025-09-29 09:31:42,4.31,41700,4.31,U
2025-09-29 09:31:45,4.3,153100,4.31,D
2025-09-29 09:31:48,4.3,228860,4.3,D
2025-09-29 09:31:51,4.3,48900,4.3,D
2025-09-29 09:31:54,4.31,91100,4.3,U
2025-09-29 09:31:57,4.3,151400,4.31,D
2025-09-29 09:32:00,4.3,64300,4.3,D
2025-09-29 09:32:03,4.3,162540,4.3,D
2025-09-29 09:32:06,4.3,64500,4.3,D
2025-09-29 09:32:09,4.3,141800,4.3,D
2025-09-29 09:32:12,4.3,114000,4.3,D
2025-09-29 09:32:15,4.3,114500,4.3,D
2025-09-29 09:32:18,4.31,33100,4.3,U
2025-09-29 09:32:21,4.3,75400,4.31,D
2025-09-29 09:32:24,4.3,159500,4.3,D
2025-09-29 09:32:27,4.3,67000,4.3,D
2025-09-29 09:32:30,4.31,37400,4.3,U
2025-09-29 09:32:33,4.31,144700,4.31,U
2025-09-29 09:32:36,4.31,210500,4.31,U
2025-09-29 09:32:39,4.31,315600,4.31,U
2025-09-29 09:32:42,4.31,344000,4.31,U
2025-09-29 09:32:45,4.31,549400,4.31,U
2025-09-29 09:32:48,4.3,205500,4.31,D
2025-09-29 09:32:51,4.3,311600,4.3,D
2025-09-29 09:32:54,4.3,375900,4.3,D
2025-09-29 09:32:57,4.3,932500,4.3,D
2025-09-29 09:33:00,4.3,5400100,4.3,D
2025-09-29 09:33:03,4.3,352300,4.3,U
2025-09-29 09:33:06,4.3,99500,4.3,U
2025-09-29 09:33:09,4.29,852200,4.3,D
2025-09-29 09:33:12,4.29,970300,4.29,D
2025-09-29 09:33:15,4.28,397700,4.29,D
2025-09-29 09:33:18,4.28,2494000,4.28,D
2025-09-29 09:33:21,4.28,422400,4.28,D
2025-09-29 09:33:24,4.28,92800,4.28,D
2025-09-29 09:33:27,4.29,210600,4.28,U
2025-09-29 09:33:30,4.28,330000,4.29,D
2025-09-29 09:33:33,4.29,244400,4.28,U
2025-09-29 09:33:36,4.28,1107100,4.29,D
2025-09-29 09:33:39,4.28,484700,4.28,D
2025-09-29 09:33:42,4.29,209300,4.28,U
2025-09-29 09:33:45,4.28,120100,4.29,D
2025-09-29 09:33:48,4.29,151300,4.28,U
2025-09-29 09:33:51,4.29,235000,4.29,U
2025-09-29 09:33:54,4.29,90300,4.29,U
2025-09-29 09:33:57,4.28,118100,4.29,D
2025-09-29 09:34:00,4.29,48200,4.28,U
2025-09-29 09:34:03,4.28,205600,4.29,D
2025-09-29 09:34:06,4.29,46500,4.28,U
2025-09-29 09:34:09,4.29,70400,4.29,U
2025-09-29 09:34:12,4.28,76200,4.29,D
2025-09-29 09:34:15,4.29,209900,4.28,U
2025-09-29 09:34:18,4.29,2955800,4.29,U
2025-09-29 09:34:21,4.29,251400,4.29,D
2025-09-29 09:34:24,4.29,398900,4.29,D
2025-09-29 09:34:27,4.29,78700,4.29,D
2025-09-29 09:34:30,4.29,892400,4.29,D
2025-09-29 09:34:33,4.29,120800,4.29,U
2025-09-29 09:34:36,4.29,168100,4.29,U
2025-09-29 09:34:39,4.29,194300,4.29,U
2025-09-29 09:34:42,4.29,112400,4.29,U
2025-09-29 09:34:45,4.29,313100,4.29,U
2025-09-29 09:34:48,4.29,73900,4.29,U
2025-09-29 09:34:51,4.28,152900,4.29,D
2025-09-29 09:34:54,4.29,43400,4.28,U
2025-09-29 09:34:57,4.28,69400,4.29,D
2025-09-29 09:35:00,4.28,196700,4.28,D
2025-09-29 09:35:03,4.29,168000,4.28,U
2025-09-29 09:35:06,4.29,42900,4.29,U
2025-09-29 09:35:09,4.29,169700,4.29,U
2025-09-29 09:35:12,4.28,72000,4.29,D
2025-09-29 09:35:15,4.29,190200,4.28,U
2025-09-29 09:35:18,4.28,334700,4.29,D
2025-09-29 09:35:21,4.29,175400,4.28,U
2025-09-29 09:35:24,4.29,302700,4.29,U
2025-09-29 09:35:27,4.29,178700,4.29,U
2025-09-29 09:35:30,4.29,142600,4.29,U
2025-09-29 09:35:33,4.29,187000,4.29,U
2025-09-29 09:35:36,4.28,391800,4.29,D
2025-09-29 09:35:39,4.28,250800,4.28,D
2025-09-29 09:35:42,4.29,202310,4.28,U
2025-09-29 09:35:45,4.28,1346200,4.29,D
2025-09-29 09:35:48,4.29,663062,4.28,U
2025-09-29 09:35:51,4.28,193900,4.29,D
2025-09-29 09:35:54,4.29,36000,4.28,U
2025-09-29 09:35:57,4.29,38800,4.29,U
2025-09-29 09:36:03,4.28,143100,4.29,D
2025-09-29 09:36:06,4.29,52800,4.28,U
2025-09-29 09:36:09,4.29,98400,4.29,U
2025-09-29 09:36:12,4.28,724300,4.29,D
2025-09-29 09:36:15,4.28,3043228,4.28,D
2025-09-29 09:36:18,4.28,89800,4.28,U
2025-09-29 09:36:21,4.27,1123000,4.28,D
2025-09-29 09:36:24,4.27,441800,4.27,D
2025-09-29 09:36:27,4.28,602700,4.27,U
2025-09-29 09:36:30,4.27,163400,4.28,D
2025-09-29 09:36:33,4.28,45900,4.27,U
2025-09-29 09:36:36,4.28,28100,4.28,U
2025-09-29 09:36:39,4.28,96000,4.28,U
2025-09-29 09:36:42,4.27,62500,4.28,D
2025-09-29 09:36:45,4.28,92000,4.27,U
2025-09-29 09:36:48,4.28,97900,4.28,U
2025-09-29 09:36:51,4.28,109700,4.28,U
2025-09-29 09:36:57,4.28,29600,4.28,U
2025-09-29 09:37:00,4.28,134900,4.28,U
2025-09-29 09:37:03,4.27,60200,4.28,D
2025-09-29 09:37:06,4.27,48030,4.27,D
2025-09-29 09:37:09,4.27,1196900,4.27,D
2025-09-29 09:37:12,4.27,209520,4.27,D
2025-09-29 09:37:15,4.27,2297550,4.27,D
2025-09-29 09:37:18,4.27,135300,4.27,U
2025-09-29 09:37:21,4.27,185300,4.27,U
2025-09-29 09:37:24,4.27,55600,4.27,U
2025-09-29 09:37:27,4.27,63500,4.27,U
2025-09-29 09:37:30,4.27,576800,4.27,U
2025-09-29 09:37:33,4.27,136100,4.27,U
2025-09-29 09:37:36,4.27,1756374,4.27,U
2025-09-29 09:37:39,4.27,88000,4.27,D
2025-09-29 09:37:42,4.27,62100,4.27,D
2025-09-29 09:37:45,4.27,489400,4.27,D
2025-09-29 09:37:48,4.27,208900,4.27,D
2025-09-29 09:37:51,4.27,35300,4.27,D
2025-09-29 09:37:54,4.27,35000,4.27,D
2025-09-29 09:37:57,4.27,175000,4.27,D
2025-09-29 09:38:00,4.27,25300,4.27,D
2025-09-29 09:38:03,4.28,352000,4.27,U
2025-09-29 09:38:06,4.27,37300,4.28,D
2025-09-29 09:38:09,4.27,51100,4.27,D
2025-09-29 09:38:12,4.28,45000,4.27,U
2025-09-29 09:38:15,4.28,142100,4.28,U
