股票代码: 000400
股票名称: 许继电气
所属板块: 电网设备
分时数据时间范围: 20250930 到 20251014
K线数据时间范围: 20250715 到 20251014
小时量能数据时间范围: 20250916 到 20251014

=== 分时成交数据 ===
ticktime,price,volume,prev_price,kind
2025-09-30 09:25:00,25.59,278300,0.0,U
2025-09-30 09:30:00,25.58,84600,25.59,D
2025-09-30 09:30:03,25.58,244500,25.58,D
2025-09-30 09:30:06,25.58,112900,25.58,U
2025-09-30 09:30:09,25.53,30000,25.58,E
2025-09-30 09:30:15,25.53,30800,25.56,D
2025-09-30 09:30:21,25.52,14100,25.53,D
2025-09-30 09:30:24,25.52,15200,25.52,U
2025-09-30 09:30:27,25.5,17400,25.52,D
2025-09-30 09:30:30,25.49,49000,25.5,D
2025-09-30 09:30:33,25.47,8500,25.49,D
2025-09-30 09:30:36,25.5,59200,25.47,U
2025-09-30 09:30:39,25.52,83400,25.5,U
2025-09-30 09:30:42,25.51,33800,25.52,D
2025-09-30 09:30:45,25.52,26400,25.51,E
2025-09-30 09:30:48,25.51,15000,25.52,D
2025-09-30 09:30:51,25.5,14700,25.51,D
2025-09-30 09:30:54,25.5,15300,25.5,D
2025-09-30 09:30:57,25.5,15800,25.5,D
2025-09-30 09:31:00,25.48,14000,25.5,D
2025-09-30 09:31:03,25.48,10200,25.48,D
2025-09-30 09:31:06,25.48,24100,25.48,U
2025-09-30 09:31:09,25.47,46100,25.48,D
2025-09-30 09:31:12,25.47,17000,25.47,U
2025-09-30 09:31:15,25.46,14400,25.47,E
2025-09-30 09:31:18,25.45,22800,25.46,E
2025-09-30 09:31:21,25.47,98400,25.45,U
2025-09-30 09:31:24,25.47,21400,25.47,D
2025-09-30 09:31:27,25.47,13700,25.47,D
2025-09-30 09:31:30,25.46,10500,25.47,D
2025-09-30 09:31:33,25.46,12300,25.46,D
2025-09-30 09:31:36,25.45,20000,25.46,D
2025-09-30 09:31:39,25.45,30300,25.45,U
2025-09-30 09:31:42,25.46,21300,25.45,U
2025-09-30 09:31:45,25.45,15000,25.46,E
2025-09-30 09:31:48,25.43,23800,25.45,D
2025-09-30 09:31:51,25.43,17300,25.43,D
2025-09-30 09:31:54,25.43,14200,25.43,D
2025-09-30 09:31:57,25.45,56200,25.43,U
2025-09-30 09:32:00,25.43,46300,25.45,D
2025-09-30 09:32:03,25.43,44300,25.43,D
2025-09-30 09:32:06,25.43,17100,25.43,D
2025-09-30 09:32:09,25.42,35500,25.43,D
2025-09-30 09:32:12,25.43,20400,25.42,U
2025-09-30 09:32:15,25.42,12500,25.43,D
2025-09-30 09:32:18,25.46,31600,25.42,U
2025-09-30 09:32:21,25.42,25200,25.46,D
2025-09-30 09:32:24,25.42,25400,25.42,U
2025-09-30 09:32:27,25.41,25700,25.42,D
2025-09-30 09:32:30,25.42,11800,25.41,E
2025-09-30 09:32:33,25.42,13600,25.42,D
2025-09-30 09:32:36,25.42,26200,25.42,D
2025-09-30 09:32:39,25.43,38600,25.42,E
2025-09-30 09:32:42,25.41,12200,25.43,D
2025-09-30 09:32:45,25.44,20200,25.41,U
2025-09-30 09:32:48,25.44,22100,25.44,D
2025-09-30 09:32:51,25.45,34600,25.44,U
2025-09-30 09:32:54,25.44,15900,25.45,D
2025-09-30 09:32:57,25.44,20600,25.44,U
2025-09-30 09:33:03,25.45,15300,25.44,U
2025-09-30 09:33:06,25.42,73900,25.45,D
2025-09-30 09:33:09,25.42,13700,25.42,D
2025-09-30 09:33:12,25.42,14300,25.42,U
2025-09-30 09:33:15,25.41,23500,25.42,D
2025-09-30 09:33:18,25.42,19200,25.41,U
2025-09-30 09:33:21,25.41,30900,25.42,D
2025-09-30 09:33:24,25.41,84900,25.41,D
2025-09-30 09:33:27,25.41,26400,25.41,D
2025-09-30 09:33:30,25.41,44300,25.41,U
2025-09-30 09:33:33,25.41,19100,25.41,U
2025-09-30 09:33:36,25.41,28400,25.41,U
2025-09-30 09:33:39,25.4,18600,25.41,E
2025-09-30 09:33:42,25.41,24700,25.4,U
2025-09-30 09:33:45,25.4,17500,25.41,D
2025-09-30 09:33:48,25.4,17900,25.4,U
2025-09-30 09:33:51,25.4,34200,25.4,U
2025-09-30 09:33:54,25.42,77814,25.4,U
2025-09-30 09:33:57,25.41,25500,25.42,D
2025-09-30 09:34:00,25.42,18800,25.41,E
2025-09-30 09:34:03,25.44,33100,25.42,U
2025-09-30 09:34:06,25.44,17600,25.44,D
2025-09-30 09:34:09,25.45,15000,25.44,U
2025-09-30 09:34:12,25.48,68800,25.45,U
2025-09-30 09:34:21,25.57,11700,25.57,U
2025-09-30 09:34:24,25.53,17300,25.57,D
2025-09-30 09:34:27,25.53,28200,25.53,D
2025-09-30 09:34:33,25.56,16000,25.56,U
2025-09-30 09:34:36,25.53,35900,25.56,D
2025-09-30 09:34:39,25.56,9200,25.53,E
2025-09-30 09:34:42,25.57,8700,25.56,U
2025-09-30 09:34:45,25.53,37800,25.57,D
2025-09-30 09:34:48,25.52,27000,25.53,D
2025-09-30 09:34:54,25.5,22800,25.56,D
2025-09-30 09:34:57,25.52,8900,25.5,E
2025-09-30 09:35:00,25.51,37500,25.52,D
2025-09-30 09:35:03,25.47,9100,25.51,E
2025-09-30 09:35:06,25.5,18100,25.47,U
2025-09-30 09:35:09,25.48,8000,25.5,E
2025-09-30 09:35:12,25.47,9100,25.48,D
2025-09-30 09:35:15,25.47,38500,25.47,U
2025-09-30 09:35:18,25.45,28200,25.47,E
2025-09-30 09:35:21,25.44,58400,25.45,D
2025-09-30 09:35:24,25.43,9600,25.44,D
2025-09-30 09:35:27,25.39,28486,25.43,D
2025-09-30 09:35:30,25.39,13800,25.39,D
2025-09-30 09:35:33,25.39,24400,25.39,D
2025-09-30 09:35:36,25.39,55714,25.39,U
2025-09-30 09:35:39,25.38,27000,25.39,D
2025-09-30 09:35:42,25.38,25800,25.38,D
2025-09-30 09:35:45,25.39,18200,25.38,U
2025-09-30 09:35:48,25.4,65700,25.39,U
2025-09-30 09:35:51,25.38,23900,25.4,E
2025-09-30 09:35:54,25.37,37300,25.38,D
2025-09-30 09:35:57,25.38,63500,25.37,U
2025-09-30 09:36:00,25.38,15300,25.38,D
2025-09-30 09:36:03,25.38,19900,25.38,D
2025-09-30 09:36:06,25.42,10400,25.38,U
2025-09-30 09:36:09,25.42,16400,25.42,U
2025-09-30 09:36:12,25.42,26200,25.42,D
2025-09-30 09:36:15,25.4,9800,25.42,E
2025-09-30 09:36:21,25.42,25700,25.42,U
2025-09-30 09:36:24,25.43,8600,25.42,U
2025-09-30 09:36:30,25.42,11800,25.42,D
2025-09-30 09:36:33,25.4,9500,25.42,D
2025-09-30 09:36:36,25.42,11100,25.4,U
2025-09-30 09:36:42,25.41,19300,25.4,E
2025-09-30 09:36:45,25.45,122500,25.41,U
2025-09-30 09:36:48,25.42,11000,25.45,D
2025-09-30 09:37:03,25.46,15700,25.45,U
2025-09-30 09:37:06,25.48,62500,25.46,U
2025-09-30 09:37:12,25.46,26400,25.46,D
2025-09-30 09:37:15,25.45,10400,25.46,D
2025-09-30 09:37:18,25.45,13100,25.45,D
2025-09-30 09:37:21,25.46,11900,25.45,U
2025-09-30 09:37:27,25.44,7900,25.46,D
2025-09-30 09:37:33,25.43,25300,25.45,D
2025-09-30 09:37:36,25.43,12200,25.43,D
2025-09-30 09:37:42,25.42,8500,25.43,D
2025-09-30 09:37:45,25.43,57600,25.42,U
2025-09-30 09:37:48,25.42,11300,25.43,D
2025-09-30 09:37:51,25.42,11500,25.42,D
2025-09-30 09:37:54,25.42,10700,25.42,U
2025-09-30 09:37:57,25.42,13100,25.42,U
2025-09-30 09:38:00,25.42,27300,25.42,U
2025-09-30 09:38:03,25.41,16300,25.42,D
2025-09-30 09:38:06,25.42,12300,25.41,U
2025-09-30 09:38:09,25.41,19300,25.42,D
2025-09-30 09:38:12,25.41,15000,25.41,D
2025-09-30 09:38:15,25.4,8400,25.41,D
2025-09-30 09:38:18,25.4,59900,25.4,D
2025-09-30 09:38:21,25.39,8400,25.4,D
2025-09-30 09:38:24,25.39,19400,25.39,D
2025-09-30 09:38:27,25.39,14600,25.39,D
2025-09-30 09:38:30,25.39,9400,25.39,U
2025-09-30 09:38:33,25.38,24700,25.39,D
2025-09-30 09:38:36,25.38,15200,25.38,D
2025-09-30 09:38:39,25.39,35800,25.38,U
2025-09-30 09:38:42,25.38,18300,25.39,D
2025-09-30 09:38:45,25.38,35100,25.38,D
2025-09-30 09:38:48,25.38,27800,25.38,U
2025-09-30 09:38:51,25.38,27200,25.38,D
2025-09-30 09:38:54,25.38,13100,25.38,U
2025-09-30 09:38:57,25.38,8200,25.38,D
2025-09-30 09:39:00,25.39,16500,25.38,U
2025-09-30 09:39:03,25.38,25700,25.39,D
2025-09-30 09:39:06,25.39,78300,25.38,U
2025-09-30 09:39:09,25.41,61400,25.39,U
2025-09-30 09:39:12,25.42,68800,25.41,U
2025-09-30 09:39:21,25.42,16100,25.44,D
2025-09-30 09:39:27,25.43,8600,25.42,U
2025-09-30 09:39:30,25.42,12900,25.43,U
2025-09-30 09:39:33,25.43,12600,25.42,U
2025-09-30 09:39:36,25.41,20900,25.43,D
2025-09-30 09:39:45,25.43,10900,25.42,U
2025-09-30 09:39:48,25.4,11000,25.43,D
2025-09-30 09:39:51,25.44,34800,25.4,U
2025-09-30 09:40:12,25.48,9300,25.48,U
2025-09-30 09:40:15,25.45,16400,25.48,D
2025-09-30 09:40:21,25.45,23200,25.45,U
2025-09-30 09:40:24,25.42,23900,25.45,D
2025-09-30 09:40:33,25.42,15700,25.42,D
2025-09-30 09:40:36,25.42,11900,25.42,U
2025-09-30 09:40:39,25.42,18900,25.42,U
2025-09-30 09:40:48,25.41,15900,25.41,D
2025-09-30 09:40:51,25.4,27500,25.41,D
2025-09-30 09:40:57,25.4,16500,25.41,D
2025-09-30 09:41:00,25.4,18200,25.4,D
