股票代码: 000498
股票名称: 山东路桥
所属板块: 工程建设
分时数据时间范围: 20250929 到 20251013
K线数据时间范围: 20250714 到 20251013
小时量能数据时间范围: 20250930 到 20251013

=== 分时成交数据 ===
ticktime,price,volume,prev_price,kind
2025-09-29 09:25:00,6.04,38500,0.0,U
2025-09-29 09:30:03,6.04,107880,6.04,U
2025-09-29 09:31:30,6.03,20700,6.03,U
2025-09-29 09:32:09,6.02,20800,6.03,D
2025-09-29 09:32:12,6.02,62900,6.02,D
2025-09-29 09:33:03,6.0,130800,6.02,D
2025-09-29 09:33:27,6.0,99500,6.0,D
2025-09-29 09:33:39,5.99,46100,6.0,D
2025-09-29 09:34:42,5.99,82300,5.99,D
2025-09-29 09:34:45,6.0,20200,5.99,U
2025-09-29 09:35:48,5.98,56900,5.98,D
2025-09-29 09:36:12,5.98,34100,5.97,U
2025-09-29 09:36:24,5.97,21600,5.97,D
2025-09-29 09:36:33,5.98,37300,5.97,U
2025-09-29 09:37:03,5.98,21300,5.98,U
2025-09-29 09:37:18,5.97,54600,5.98,D
2025-09-29 09:37:54,5.98,24800,5.98,D
2025-09-29 09:38:45,5.98,49500,5.98,U
2025-09-29 09:40:42,5.98,21500,5.98,D
2025-09-29 09:41:21,5.98,39700,5.99,D
2025-09-29 09:42:54,5.99,42600,5.98,U
2025-09-29 09:45:48,6.0,37100,5.99,U
2025-09-29 09:46:00,6.01,47800,6.0,U
2025-09-29 09:47:00,6.02,21000,6.02,U
2025-09-29 09:49:18,6.02,62300,6.01,U
2025-09-29 09:50:12,6.01,20600,6.02,D
2025-09-29 09:50:54,6.02,32500,6.02,U
2025-09-29 09:51:27,6.02,62100,6.03,D
2025-09-29 09:51:30,6.02,27700,6.02,U
2025-09-29 09:52:42,6.02,25300,6.03,D
2025-09-29 09:53:21,6.02,32500,6.02,D
2025-09-29 09:56:27,6.02,21100,6.01,U
2025-09-29 09:57:39,6.02,30000,6.02,D
2025-09-29 09:59:06,6.04,105600,6.03,U
2025-09-29 10:01:12,6.03,30900,6.03,D
2025-09-29 10:02:48,6.04,22100,6.04,U
2025-09-29 10:03:18,6.04,97500,6.04,U
2025-09-29 10:03:27,6.04,30000,6.04,D
2025-09-29 10:06:57,6.05,26200,6.05,U
2025-09-29 10:10:18,6.05,35100,6.04,U
2025-09-29 10:17:03,6.06,34700,6.05,U
2025-09-29 10:17:33,6.05,90000,6.06,D
2025-09-29 10:17:48,6.06,20000,6.06,U
2025-09-29 10:18:39,6.05,50000,6.06,D
2025-09-29 10:19:42,6.06,41300,6.05,U
2025-09-29 10:26:18,6.04,26400,6.06,D
2025-09-29 10:26:21,6.06,32000,6.04,U
2025-09-29 10:30:09,6.06,46600,6.06,U
2025-09-29 10:31:24,6.06,27300,6.06,U
2025-09-29 10:32:27,6.05,29000,6.06,D
2025-09-29 10:33:03,6.05,76500,6.06,D
2025-09-29 10:33:09,6.05,23200,6.05,U
2025-09-29 10:35:48,6.06,20400,6.05,U
2025-09-29 10:38:24,6.05,73100,6.06,D
2025-09-29 10:39:18,6.05,21500,6.05,U
2025-09-29 10:43:30,6.03,265200,6.05,D
2025-09-29 10:56:57,6.05,32300,6.05,D
2025-09-29 10:58:24,6.05,202800,6.05,D
2025-09-29 11:04:36,6.04,50300,6.05,D
2025-09-29 11:20:27,6.04,118500,6.05,D
2025-09-29 11:24:36,6.03,32700,6.03,D
2025-09-29 13:03:54,6.03,33000,6.03,D
2025-09-29 13:03:57,6.03,67000,6.03,U
2025-09-29 13:17:21,6.04,21800,6.05,D
2025-09-29 13:18:33,6.04,26900,6.04,U
2025-09-29 13:22:00,6.03,37000,6.03,D
2025-09-29 13:23:18,6.04,154600,6.04,U
2025-09-29 13:24:57,6.04,20000,6.03,U
2025-09-29 13:25:12,6.04,24300,6.04,U
2025-09-29 13:32:18,6.04,107900,6.04,D
2025-09-29 13:33:42,6.04,21400,6.04,U
2025-09-29 13:40:30,6.05,92200,6.04,U
2025-09-29 13:41:21,6.05,24300,6.05,U
2025-09-29 13:41:33,6.06,70400,6.05,U
2025-09-29 13:43:57,6.06,73300,6.06,U
2025-09-29 13:44:27,6.06,23100,6.05,U
2025-09-29 13:49:06,6.06,129900,6.05,U
2025-09-29 13:49:09,6.07,114600,6.06,U
2025-09-29 13:49:24,6.06,187300,6.06,D
2025-09-29 13:50:30,6.08,97100,6.07,U
2025-09-29 13:50:51,6.07,23600,6.08,D
2025-09-29 13:52:00,6.08,21800,6.08,U
2025-09-29 13:52:15,6.08,21900,6.08,U
2025-09-29 13:53:21,6.09,26000,6.09,U
2025-09-29 13:54:12,6.08,21600,6.09,D
2025-09-29 13:54:33,6.09,79500,6.08,U
2025-09-29 13:55:42,6.1,173600,6.09,U
