股票代码: 002243
股票名称: 力合科创
所属板块: 美容护理
分时数据时间范围: 20250929 到 20251013
K线数据时间范围: 20250714 到 20251013
小时量能数据时间范围: 20250916 到 20251013

=== 分时成交数据 ===
ticktime,price,volume,prev_price,kind
2025-09-29 09:25:00,9.44,407300,0.0,D
2025-09-29 09:30:00,9.46,395500,9.44,U
2025-09-29 09:30:03,9.53,244400,9.46,U
2025-09-29 09:30:06,9.46,101400,9.53,D
2025-09-29 09:30:09,9.5,82700,9.46,U
2025-09-29 09:30:15,9.49,30000,9.49,D
2025-09-29 09:30:18,9.48,91600,9.49,D
2025-09-29 09:30:21,9.46,72300,9.48,D
2025-09-29 09:30:24,9.45,57300,9.46,D
2025-09-29 09:30:27,9.48,68000,9.45,U
2025-09-29 09:30:30,9.48,28100,9.48,U
2025-09-29 09:30:33,9.49,42900,9.48,U
2025-09-29 09:30:39,9.49,87100,9.47,U
2025-09-29 09:30:48,9.48,29700,9.47,U
2025-09-29 09:30:54,9.49,33200,9.48,U
2025-09-29 09:31:03,9.5,31400,9.49,U
2025-09-29 09:31:06,9.5,30400,9.5,U
2025-09-29 09:31:15,9.49,38800,9.5,U
2025-09-29 09:31:21,9.46,21200,9.47,U
2025-09-29 09:31:24,9.44,70100,9.46,D
2025-09-29 09:31:33,9.44,57000,9.44,D
2025-09-29 09:31:42,9.44,47200,9.44,D
2025-09-29 09:31:45,9.44,24100,9.44,D
2025-09-29 09:32:12,9.47,140800,9.44,U
2025-09-29 09:32:15,9.5,221500,9.47,U
2025-09-29 09:32:18,9.48,54100,9.5,D
2025-09-29 09:32:24,9.47,37000,9.49,D
2025-09-29 09:32:27,9.47,30200,9.47,D
2025-09-29 09:32:30,9.47,26900,9.47,U
2025-09-29 09:32:33,9.49,173800,9.47,U
2025-09-29 09:32:42,9.49,61600,9.51,D
2025-09-29 09:32:51,9.52,44400,9.5,U
2025-09-29 09:32:54,9.54,33400,9.52,U
2025-09-29 09:32:57,9.53,63000,9.54,E
2025-09-29 09:33:03,9.53,32000,9.52,U
2025-09-29 09:33:06,9.53,58100,9.53,U
2025-09-29 09:33:12,9.5,41800,9.51,D
2025-09-29 09:33:18,9.51,22600,9.51,U
2025-09-29 09:33:21,9.51,73800,9.51,U
2025-09-29 09:33:33,9.54,1020000,9.49,U
2025-09-29 09:33:45,9.65,701500,9.54,U
2025-09-29 09:33:48,9.59,202800,9.65,D
2025-09-29 09:33:51,9.62,70200,9.59,E
2025-09-29 09:33:54,9.63,41500,9.62,U
2025-09-29 09:34:03,9.61,47600,9.59,U
2025-09-29 09:34:06,9.61,30000,9.61,U
2025-09-29 09:34:09,9.59,33700,9.61,D
2025-09-29 09:34:12,9.57,49900,9.59,D
2025-09-29 09:34:15,9.54,20700,9.57,D
2025-09-29 09:34:18,9.54,24000,9.54,U
2025-09-29 09:34:21,9.52,24000,9.54,D
2025-09-29 09:34:24,9.54,72100,9.52,U
2025-09-29 09:34:27,9.53,58200,9.54,D
2025-09-29 09:34:30,9.55,514400,9.53,U
2025-09-29 09:34:42,9.61,347000,9.55,U
2025-09-29 09:34:48,9.61,31500,9.62,D
2025-09-29 09:34:54,9.61,25900,9.61,D
2025-09-29 09:34:57,9.63,45400,9.61,U
2025-09-29 09:35:00,9.62,20300,9.63,D
2025-09-29 09:35:03,9.6,441900,9.62,D
2025-09-29 09:35:06,9.59,186200,9.6,E
2025-09-29 09:35:09,9.59,36100,9.59,U
2025-09-29 09:35:15,9.57,20400,9.57,D
2025-09-29 09:35:18,9.56,23800,9.57,E
2025-09-29 09:35:27,9.57,43200,9.56,U
2025-09-29 09:35:30,9.6,89800,9.57,U
2025-09-29 09:35:33,9.6,27100,9.6,D
2025-09-29 09:35:42,9.61,38700,9.6,U
2025-09-29 09:35:45,9.61,169100,9.61,U
2025-09-29 09:35:48,9.6,237600,9.61,D
2025-09-29 09:35:54,9.58,72200,9.59,D
2025-09-29 09:36:09,9.57,88100,9.58,D
2025-09-29 09:36:24,9.55,57900,9.55,D
2025-09-29 09:36:27,9.54,25100,9.55,D
2025-09-29 09:36:39,9.58,100200,9.57,U
2025-09-29 09:36:42,9.64,664600,9.58,U
2025-09-29 09:36:48,9.61,63600,9.64,D
2025-09-29 09:36:54,9.61,53500,9.62,D
2025-09-29 09:37:03,9.59,95200,9.61,D
2025-09-29 09:37:06,9.58,37000,9.59,D
2025-09-29 09:37:09,9.61,35200,9.58,E
2025-09-29 09:37:12,9.61,49700,9.61,U
2025-09-29 09:37:18,9.59,21000,9.58,E
2025-09-29 09:37:21,9.6,40800,9.59,U
2025-09-29 09:37:36,9.6,34300,9.61,D
2025-09-29 09:37:39,9.6,82300,9.6,U
2025-09-29 09:37:48,9.57,24100,9.59,D
2025-09-29 09:38:12,9.58,33300,9.6,D
2025-09-29 09:38:18,9.6,72700,9.58,U
2025-09-29 09:38:51,9.58,32400,9.58,D
2025-09-29 09:38:54,9.59,23400,9.58,U
2025-09-29 09:39:03,9.56,24900,9.57,D
2025-09-29 09:39:24,9.55,105100,9.56,D
2025-09-29 09:39:27,9.55,88100,9.55,D
2025-09-29 09:40:00,9.53,36100,9.53,D
2025-09-29 09:40:03,9.51,69900,9.53,D
2025-09-29 09:40:18,9.51,35400,9.52,D
2025-09-29 09:40:27,9.52,25600,9.52,U
2025-09-29 09:40:33,9.51,23800,9.52,D
2025-09-29 09:40:39,9.54,158300,9.51,U
2025-09-29 09:40:51,9.54,36200,9.54,U
2025-09-29 09:40:54,9.53,34200,9.54,E
2025-09-29 09:41:30,9.53,28200,9.54,D
2025-09-29 09:41:39,9.53,23800,9.52,U
2025-09-29 09:41:42,9.53,43800,9.53,D
2025-09-29 09:41:45,9.53,84600,9.53,D
2025-09-29 09:42:00,9.52,48300,9.53,D
2025-09-29 09:42:15,9.53,31400,9.54,D
2025-09-29 09:42:27,9.54,80300,9.53,U
2025-09-29 09:43:03,9.55,195700,9.54,U
2025-09-29 09:43:30,9.6,658200,9.55,U
2025-09-29 09:43:33,9.6,104700,9.6,E
2025-09-29 09:44:15,9.57,44200,9.57,D
2025-09-29 09:44:39,9.57,26300,9.56,U
2025-09-29 09:44:45,9.56,45700,9.57,U
2025-09-29 09:44:51,9.56,21600,9.55,U
2025-09-29 09:44:57,9.6,351148,9.55,U
2025-09-29 09:45:00,9.61,34700,9.6,U
2025-09-29 09:45:03,9.62,44500,9.61,U
2025-09-29 09:45:06,9.6,50600,9.62,D
2025-09-29 09:45:18,9.6,38600,9.61,D
2025-09-29 09:45:21,9.6,21500,9.6,D
2025-09-29 09:45:24,9.6,20300,9.6,D
2025-09-29 09:45:57,9.6,42448,9.6,U
2025-09-29 09:46:00,9.63,209400,9.6,U
2025-09-29 09:46:03,9.63,20900,9.63,U
2025-09-29 09:46:09,9.64,34600,9.64,U
2025-09-29 09:46:15,9.61,32200,9.64,D
2025-09-29 09:46:21,9.64,21700,9.64,U
2025-09-29 09:46:30,9.63,26600,9.63,U
2025-09-29 09:47:09,9.6,39000,9.6,D
2025-09-29 09:47:45,9.63,105100,9.57,U
2025-09-29 09:48:09,9.6,36300,9.59,U
2025-09-29 09:48:18,9.63,131900,9.61,U
2025-09-29 09:48:27,9.64,101000,9.63,U
2025-09-29 09:48:33,9.63,52300,9.64,D
2025-09-29 09:48:51,9.64,27200,9.62,U
2025-09-29 09:48:54,9.64,100200,9.64,U
2025-09-29 09:49:00,9.72,1153352,9.64,U
2025-09-29 09:49:03,9.7,40100,9.72,D
2025-09-29 09:49:18,9.75,44400,9.74,U
2025-09-29 09:49:21,9.74,71400,9.75,D
2025-09-29 09:49:24,9.74,107800,9.74,D
2025-09-29 09:49:27,9.75,71200,9.74,U
2025-09-29 09:49:30,9.74,37300,9.75,D
2025-09-29 09:49:33,9.75,69200,9.74,U
2025-09-29 09:49:36,9.74,40400,9.75,U
2025-09-29 09:49:42,9.73,67900,9.73,U
2025-09-29 09:49:45,9.74,35400,9.73,U
2025-09-29 09:49:48,9.74,21600,9.74,U
2025-09-29 09:49:51,9.74,27400,9.74,U
2025-09-29 09:49:54,9.74,29900,9.74,U
2025-09-29 09:49:57,9.74,150800,9.74,U
2025-09-29 09:50:06,9.75,79700,9.74,U
2025-09-29 09:50:09,9.75,22500,9.75,U
2025-09-29 09:50:12,9.75,20600,9.75,D
2025-09-29 09:50:15,9.75,54900,9.75,U
2025-09-29 09:50:18,9.75,28500,9.75,U
2025-09-29 09:50:24,9.72,22800,9.74,D
2025-09-29 09:50:27,9.74,61000,9.72,U
2025-09-29 09:50:30,9.72,31600,9.74,E
2025-09-29 09:51:03,9.72,45300,9.71,U
2025-09-29 09:51:06,9.71,21300,9.72,D
2025-09-29 09:51:12,9.71,32800,9.71,D
2025-09-29 09:51:24,9.7,28100,9.71,D
2025-09-29 09:51:30,9.71,72200,9.7,U
2025-09-29 09:52:00,9.68,26600,9.68,D
2025-09-29 09:52:24,9.67,25200,9.67,U
2025-09-29 09:52:27,9.68,42552,9.67,U
2025-09-29 09:52:54,9.68,23500,9.66,U
2025-09-29 09:53:18,9.66,37900,9.67,D
2025-09-29 09:53:48,9.69,30800,9.68,U
2025-09-29 09:54:06,9.68,29800,9.69,D
2025-09-29 09:54:15,9.68,64900,9.69,D
2025-09-29 09:54:21,9.68,29700,9.67,U
2025-09-29 09:54:24,9.66,21748,9.68,D
2025-09-29 09:54:42,9.65,39700,9.66,D
2025-09-29 09:55:09,9.65,49900,9.64,U
2025-09-29 09:55:36,9.64,134400,9.64,D
2025-09-29 09:55:39,9.65,31000,9.64,U
2025-09-29 09:55:42,9.65,36000,9.65,U
