股票代码: 002409
股票名称: 雅克科技
所属板块: 电子化学品
分时数据时间范围: 20250930 到 20251014
K线数据时间范围: 20250715 到 20251014
小时量能数据时间范围: 20250916 到 20251014

=== 分时成交数据 ===
ticktime,price,volume,prev_price,kind
2025-09-30 09:25:00,73.99,200719,0.0,U
2025-09-30 09:30:00,74.2,93900,73.99,U
2025-09-30 09:30:03,74.21,94900,74.2,U
2025-09-30 09:30:06,74.38,21600,74.21,D
2025-09-30 09:30:09,74.38,33400,74.38,U
2025-09-30 09:30:12,74.1,49700,74.38,D
2025-09-30 09:30:15,74.06,51400,74.1,D
2025-09-30 09:30:18,74.01,38400,74.06,D
2025-09-30 09:30:21,74.0,244900,74.01,D
2025-09-30 09:30:24,73.95,39181,74.0,D
2025-09-30 09:30:27,73.91,24000,73.95,D
2025-09-30 09:30:30,73.83,25200,73.91,D
2025-09-30 09:30:33,73.78,30100,73.83,D
2025-09-30 09:30:36,73.55,10500,73.78,D
2025-09-30 09:30:39,73.5,12100,73.55,D
2025-09-30 09:30:42,73.35,12600,73.5,D
2025-09-30 09:30:45,73.6,26100,73.35,U
2025-09-30 09:30:48,73.68,34800,73.6,U
2025-09-30 09:30:51,73.75,17000,73.68,U
2025-09-30 09:30:54,73.85,16700,73.75,U
2025-09-30 09:30:57,73.83,41800,73.85,D
2025-09-30 09:31:00,73.76,21000,73.83,E
2025-09-30 09:31:03,73.77,27800,73.76,U
2025-09-30 09:31:06,73.76,14900,73.77,U
2025-09-30 09:31:09,73.67,33700,73.76,E
2025-09-30 09:31:12,73.68,12900,73.67,U
2025-09-30 09:31:15,73.8,8900,73.68,U
2025-09-30 09:31:18,73.66,21600,73.8,D
2025-09-30 09:31:21,73.66,10200,73.66,D
2025-09-30 09:31:24,73.63,29500,73.66,D
2025-09-30 09:31:27,73.47,15700,73.63,E
2025-09-30 09:31:30,73.48,7800,73.47,D
2025-09-30 09:31:33,73.47,6000,73.48,E
2025-09-30 09:31:36,73.48,6900,73.47,U
2025-09-30 09:31:39,73.45,6000,73.48,E
2025-09-30 09:31:42,73.45,10500,73.45,U
2025-09-30 09:31:45,73.46,6700,73.45,E
2025-09-30 09:31:48,73.54,22700,73.46,U
2025-09-30 09:31:51,73.66,7600,73.54,E
2025-09-30 09:31:54,73.68,6500,73.66,U
2025-09-30 09:31:57,73.66,7900,73.68,E
2025-09-30 09:32:00,73.89,28500,73.66,U
2025-09-30 09:32:03,73.93,8200,73.89,U
2025-09-30 09:32:06,73.93,14000,73.93,E
2025-09-30 09:32:09,73.88,24300,73.93,E
2025-09-30 09:32:12,73.8,8400,73.88,D
2025-09-30 09:32:15,73.99,17300,73.8,U
2025-09-30 09:32:18,73.94,5100,73.99,D
2025-09-30 09:32:21,73.97,10300,73.94,E
2025-09-30 09:32:24,73.89,6100,73.97,E
2025-09-30 09:32:27,73.98,8400,73.89,U
2025-09-30 09:32:30,73.97,3400,73.98,E
2025-09-30 09:32:33,73.98,18100,73.97,U
2025-09-30 09:32:36,74.0,20400,73.98,U
2025-09-30 09:32:39,74.01,8100,74.0,U
2025-09-30 09:32:42,74.02,6500,74.01,U
2025-09-30 09:32:45,74.08,6800,74.02,U
2025-09-30 09:32:48,74.19,5200,74.08,U
2025-09-30 09:32:51,74.1,5600,74.19,U
2025-09-30 09:32:54,74.19,12300,74.1,U
2025-09-30 09:32:57,74.11,15800,74.19,E
2025-09-30 09:33:00,74.19,68600,74.11,U
2025-09-30 09:33:03,74.26,27200,74.19,U
2025-09-30 09:33:06,74.32,5600,74.26,U
2025-09-30 09:33:09,74.39,10800,74.32,U
2025-09-30 09:33:12,74.39,13700,74.39,U
2025-09-30 09:33:15,74.4,12800,74.39,U
2025-09-30 09:33:18,74.5,17700,74.4,U
2025-09-30 09:33:21,74.45,11300,74.5,E
2025-09-30 09:33:24,74.4,29700,74.45,D
2025-09-30 09:33:27,74.59,40700,74.4,U
2025-09-30 09:33:30,74.38,12000,74.59,E
2025-09-30 09:33:33,74.25,34900,74.38,D
2025-09-30 09:33:36,74.36,19000,74.25,U
2025-09-30 09:33:39,74.42,26200,74.36,U
2025-09-30 09:33:42,74.46,8900,74.42,U
2025-09-30 09:33:45,74.55,9200,74.46,U
2025-09-30 09:33:48,74.5,5700,74.55,D
2025-09-30 09:33:51,74.6,5400,74.5,U
2025-09-30 09:33:54,74.61,10800,74.6,E
2025-09-30 09:33:57,74.6,23600,74.61,D
2025-09-30 09:34:00,74.57,38200,74.6,E
2025-09-30 09:34:03,74.59,26700,74.57,U
2025-09-30 09:34:06,74.6,12800,74.59,U
2025-09-30 09:34:09,74.56,19800,74.6,D
2025-09-30 09:34:12,74.42,17300,74.56,D
2025-09-30 09:34:15,74.41,29000,74.42,E
2025-09-30 09:34:18,74.51,25100,74.41,U
2025-09-30 09:34:21,74.44,9500,74.51,E
2025-09-30 09:34:24,74.44,14300,74.44,D
2025-09-30 09:34:27,74.5,18700,74.44,E
2025-09-30 09:34:30,74.54,10800,74.5,E
2025-09-30 09:34:33,74.5,24800,74.54,D
2025-09-30 09:34:36,74.5,5500,74.5,U
2025-09-30 09:34:39,74.53,15100,74.5,U
2025-09-30 09:34:42,74.59,27900,74.53,U
2025-09-30 09:34:45,74.68,14200,74.59,U
2025-09-30 09:34:48,74.75,5200,74.68,U
2025-09-30 09:34:51,74.79,14600,74.75,U
2025-09-30 09:34:54,74.88,30200,74.79,U
2025-09-30 09:34:57,74.84,15600,74.88,D
2025-09-30 09:35:00,74.93,28400,74.84,U
2025-09-30 09:35:03,74.96,7600,74.93,U
2025-09-30 09:35:06,74.99,50200,74.96,U
2025-09-30 09:35:09,75.05,54500,74.99,U
2025-09-30 09:35:12,75.18,8100,75.05,U
2025-09-30 09:35:15,75.09,20800,75.18,D
2025-09-30 09:35:18,75.16,59400,75.09,E
2025-09-30 09:35:21,75.18,22100,75.16,U
2025-09-30 09:35:24,75.27,33600,75.18,U
2025-09-30 09:35:27,75.32,62000,75.27,U
2025-09-30 09:35:30,75.32,15400,75.32,U
2025-09-30 09:35:33,75.35,20100,75.32,U
2025-09-30 09:35:36,75.3,87100,75.35,D
2025-09-30 09:35:39,75.16,46100,75.3,D
2025-09-30 09:35:42,75.09,14600,75.16,D
2025-09-30 09:35:45,74.96,64800,75.09,D
2025-09-30 09:35:48,75.0,18100,74.96,E
2025-09-30 09:35:51,75.02,32800,75.0,U
2025-09-30 09:35:54,75.07,30000,75.02,U
2025-09-30 09:35:57,75.13,23700,75.07,U
2025-09-30 09:36:00,75.13,17300,75.13,D
2025-09-30 09:36:03,75.13,48700,75.13,D
2025-09-30 09:36:06,75.13,18500,75.13,D
2025-09-30 09:36:09,75.1,16800,75.13,D
2025-09-30 09:36:12,75.09,9000,75.1,D
2025-09-30 09:36:15,75.09,46200,75.09,U
2025-09-30 09:36:18,74.99,37300,75.09,D
2025-09-30 09:36:21,75.0,22000,74.99,U
2025-09-30 09:36:24,74.88,6200,75.0,E
2025-09-30 09:36:27,75.08,62000,74.88,U
2025-09-30 09:36:30,75.12,19900,75.08,U
2025-09-30 09:36:33,75.09,6900,75.12,D
2025-09-30 09:36:36,75.08,10300,75.09,D
2025-09-30 09:36:39,75.07,14200,75.08,D
2025-09-30 09:36:42,74.85,29400,75.07,D
2025-09-30 09:36:45,74.97,13600,74.85,E
2025-09-30 09:36:48,74.95,7100,74.97,E
2025-09-30 09:36:51,74.93,5100,74.95,E
2025-09-30 09:36:54,74.85,9200,74.93,E
2025-09-30 09:36:57,74.86,9600,74.85,E
2025-09-30 09:37:00,74.98,11500,74.86,U
2025-09-30 09:37:03,75.0,17500,74.98,U
2025-09-30 09:37:06,74.95,7200,75.0,D
2025-09-30 09:37:09,74.98,11700,74.95,U
2025-09-30 09:37:12,75.0,34200,74.98,U
2025-09-30 09:37:15,75.01,6500,75.0,U
2025-09-30 09:37:18,75.01,17700,75.01,D
2025-09-30 09:37:21,75.01,16500,75.01,U
2025-09-30 09:37:24,74.96,11500,75.01,D
2025-09-30 09:37:27,74.96,6300,74.96,U
2025-09-30 09:37:30,74.91,18300,74.96,E
2025-09-30 09:37:33,75.0,13800,74.91,U
2025-09-30 09:37:39,74.95,8300,74.96,D
2025-09-30 09:37:42,74.98,31400,74.95,U
2025-09-30 09:37:45,74.99,21200,74.98,U
2025-09-30 09:37:48,74.99,8500,74.99,U
2025-09-30 09:37:51,74.99,4600,74.99,U
2025-09-30 09:37:54,74.97,5600,74.99,D
2025-09-30 09:37:57,75.01,13100,74.97,U
2025-09-30 09:38:00,74.96,39700,75.01,D
2025-09-30 09:38:03,75.02,20300,74.96,U
