股票代码: 002483
股票名称: 润邦股份
所属板块: 专用设备
分时数据时间范围: 20250930 到 20251014
K线数据时间范围: 20250715 到 20251014
小时量能数据时间范围: 20250916 到 20251014

=== 分时成交数据 ===
ticktime,price,volume,prev_price,kind
2025-09-30 09:25:00,7.12,20600,0.0,E
2025-09-30 09:30:03,7.13,23500,7.12,U
2025-09-30 09:31:27,7.12,36000,7.12,U
2025-09-30 09:31:57,7.13,20400,7.12,U
2025-09-30 09:32:54,7.12,52100,7.12,D
2025-09-30 09:33:03,7.12,25900,7.12,D
2025-09-30 09:33:51,7.11,20800,7.11,D
2025-09-30 09:35:03,7.12,36800,7.11,U
2025-09-30 09:35:09,7.11,58600,7.11,D
2025-09-30 09:35:54,7.09,30000,7.11,D
2025-09-30 09:37:09,7.1,22400,7.1,D
2025-09-30 09:37:12,7.1,26300,7.1,D
2025-09-30 09:37:54,7.09,20000,7.09,D
2025-09-30 09:39:12,7.08,38000,7.08,D
2025-09-30 09:39:27,7.08,24800,7.08,D
2025-09-30 09:40:24,7.08,109100,7.08,D
2025-09-30 09:40:57,7.08,21800,7.09,D
2025-09-30 09:41:39,7.08,34200,7.08,D
2025-09-30 09:41:51,7.07,32000,7.08,D
2025-09-30 09:42:33,7.08,47000,7.07,U
2025-09-30 09:42:36,7.07,25700,7.08,D
2025-09-30 09:42:39,7.07,33500,7.07,U
2025-09-30 09:43:45,7.06,25200,7.06,D
2025-09-30 09:44:06,7.08,54800,7.07,U
2025-09-30 09:44:18,7.08,36100,7.07,U
2025-09-30 09:47:06,7.09,52500,7.08,U
2025-09-30 09:47:15,7.09,26900,7.09,U
2025-09-30 09:48:03,7.09,22800,7.08,U
2025-09-30 09:52:06,7.09,30000,7.1,D
2025-09-30 09:53:24,7.09,123300,7.09,D
2025-09-30 09:55:00,7.08,30400,7.09,D
2025-09-30 09:55:24,7.08,20600,7.08,D
2025-09-30 09:55:45,7.09,61300,7.09,U
2025-09-30 09:55:48,7.09,68000,7.09,D
2025-09-30 09:55:51,7.08,23400,7.09,D
2025-09-30 09:55:54,7.08,45400,7.08,D
2025-09-30 09:56:03,7.07,34600,7.08,D
2025-09-30 09:56:24,7.07,111100,7.07,D
2025-09-30 09:56:39,7.06,55200,7.06,D
2025-09-30 09:56:57,7.06,52500,7.06,D
2025-09-30 09:57:42,7.07,33200,7.07,U
2025-09-30 09:58:42,7.05,176900,7.06,D
2025-09-30 09:58:45,7.07,20400,7.05,U
2025-09-30 10:01:12,7.06,75700,7.06,U
2025-09-30 10:02:48,7.08,22800,7.07,U
2025-09-30 10:03:36,7.06,80700,7.06,D
2025-09-30 10:05:27,7.07,20100,7.07,U
2025-09-30 10:05:42,7.07,20500,7.06,U
2025-09-30 10:06:00,7.07,42800,7.07,U
2025-09-30 10:07:33,7.08,30300,7.09,D
2025-09-30 10:11:33,7.07,40500,7.08,D
2025-09-30 10:11:54,7.05,87600,7.06,D
2025-09-30 10:13:24,7.06,53700,7.05,U
2025-09-30 10:14:06,7.06,150400,7.07,D
2025-09-30 10:14:12,7.05,56600,7.06,D
2025-09-30 10:17:42,7.06,30900,7.06,U
2025-09-30 10:17:54,7.06,22700,7.07,D
2025-09-30 10:18:03,7.06,21000,7.07,D
2025-09-30 10:18:18,7.07,50100,7.07,U
2025-09-30 10:21:21,7.07,36100,7.08,D
2025-09-30 10:21:36,7.08,71600,7.07,U
