股票代码: 002517
股票名称: 恺英网络
所属板块: 游戏
分时数据时间范围: 20250930 到 20251014
K线数据时间范围: 20250715 到 20251014
小时量能数据时间范围: 20250916 到 20251014

=== 分时成交数据 ===
ticktime,price,volume,prev_price,kind
2025-09-30 09:25:00,27.89,116600,0.0,D
2025-09-30 09:30:00,27.84,62800,27.89,D
2025-09-30 09:30:03,27.87,33300,27.84,E
2025-09-30 09:30:06,27.85,35000,27.87,D
2025-09-30 09:30:09,27.8,35400,27.85,D
2025-09-30 09:30:12,27.82,54600,27.8,U
2025-09-30 09:30:15,27.88,19400,27.82,U
2025-09-30 09:30:18,27.79,32700,27.88,U
2025-09-30 09:30:24,27.88,14500,27.84,U
2025-09-30 09:30:27,27.88,39600,27.88,D
2025-09-30 09:30:30,27.9,17300,27.88,U
2025-09-30 09:30:33,27.92,21500,27.9,U
2025-09-30 09:30:42,28.0,19000,28.0,D
2025-09-30 09:30:45,28.0,9900,28.0,D
2025-09-30 09:30:48,27.85,103200,28.0,D
2025-09-30 09:30:51,27.94,160100,27.85,U
2025-09-30 09:30:54,27.96,11600,27.94,U
2025-09-30 09:30:57,28.05,61200,27.96,U
2025-09-30 09:31:00,28.0,33200,28.05,D
2025-09-30 09:31:06,27.98,42900,28.01,E
2025-09-30 09:31:09,27.98,81900,27.98,U
2025-09-30 09:31:12,28.0,34500,27.98,U
2025-09-30 09:31:15,28.01,152600,28.0,U
2025-09-30 09:31:18,28.05,62200,28.01,U
2025-09-30 09:31:24,28.07,12900,28.05,U
2025-09-30 09:31:27,28.05,15900,28.07,U
2025-09-30 09:31:30,28.06,8800,28.05,U
2025-09-30 09:31:33,28.1,14700,28.06,U
2025-09-30 09:31:36,28.1,7700,28.1,U
2025-09-30 09:31:39,28.09,20200,28.1,D
2025-09-30 09:31:42,28.05,50400,28.09,D
2025-09-30 09:31:48,28.0,18800,28.05,D
2025-09-30 09:31:51,28.04,8900,28.0,U
2025-09-30 09:31:54,28.05,29400,28.04,U
2025-09-30 09:31:57,28.07,13700,28.05,U
2025-09-30 09:32:00,28.05,12700,28.07,E
2025-09-30 09:32:06,28.04,125600,28.02,U
2025-09-30 09:32:09,28.05,21700,28.04,U
2025-09-30 09:32:12,28.14,30500,28.05,U
2025-09-30 09:32:15,28.22,36800,28.14,U
2025-09-30 09:32:18,28.22,15200,28.22,D
2025-09-30 09:32:21,28.24,28700,28.22,E
2025-09-30 09:32:24,28.23,27500,28.24,U
2025-09-30 09:32:27,28.22,34700,28.23,D
2025-09-30 09:32:30,28.22,30100,28.22,U
2025-09-30 09:32:33,28.22,17900,28.22,U
2025-09-30 09:32:36,28.23,22700,28.22,U
2025-09-30 09:32:39,28.2,8700,28.23,E
2025-09-30 09:32:42,28.17,8500,28.2,D
2025-09-30 09:32:48,28.19,13000,28.21,E
2025-09-30 09:32:54,28.2,8700,28.19,U
2025-09-30 09:32:57,28.22,10200,28.2,U
2025-09-30 09:33:00,28.22,9300,28.22,U
2025-09-30 09:33:03,28.23,11400,28.22,U
2025-09-30 09:33:06,28.25,15000,28.23,U
2025-09-30 09:33:09,28.23,9800,28.25,D
2025-09-30 09:33:12,28.26,12600,28.23,U
2025-09-30 09:33:15,28.25,24200,28.26,E
2025-09-30 09:33:18,28.25,10200,28.25,U
2025-09-30 09:33:21,28.24,31800,28.25,E
2025-09-30 09:33:27,28.23,12100,28.23,U
2025-09-30 09:33:33,28.22,14600,28.24,D
2025-09-30 09:33:36,28.23,7500,28.22,U
2025-09-30 09:33:39,28.19,8700,28.23,D
2025-09-30 09:33:42,28.19,10700,28.19,E
2025-09-30 09:33:45,28.18,18800,28.19,D
2025-09-30 09:33:51,28.17,22200,28.18,D
2025-09-30 09:33:54,28.17,18700,28.17,D
2025-09-30 09:33:57,28.17,73500,28.17,U
2025-09-30 09:34:03,28.04,12400,28.15,D
2025-09-30 09:34:09,28.06,23400,28.06,D
2025-09-30 09:34:12,28.13,34400,28.06,U
2025-09-30 09:34:15,28.16,150400,28.13,U
2025-09-30 09:34:18,28.15,7300,28.16,D
2025-09-30 09:34:21,28.16,25100,28.15,E
2025-09-30 09:34:24,28.19,26400,28.16,U
2025-09-30 09:34:27,28.16,9500,28.19,D
2025-09-30 09:34:30,28.21,24700,28.16,U
2025-09-30 09:34:33,28.24,30500,28.21,U
2025-09-30 09:34:39,28.21,21200,28.17,U
2025-09-30 09:34:45,28.24,7200,28.21,U
2025-09-30 09:34:51,28.23,21200,28.23,E
2025-09-30 09:34:54,28.23,39200,28.23,U
2025-09-30 09:34:57,28.23,19500,28.23,U
2025-09-30 09:35:00,28.23,50200,28.23,U
2025-09-30 09:35:03,28.24,18200,28.23,U
2025-09-30 09:35:06,28.28,19100,28.24,U
2025-09-30 09:35:09,28.26,9000,28.28,D
2025-09-30 09:35:12,28.27,15800,28.26,U
2025-09-30 09:35:15,28.27,20300,28.27,U
2025-09-30 09:35:18,28.29,21800,28.27,U
2025-09-30 09:35:21,28.28,83000,28.29,D
2025-09-30 09:35:24,28.27,34300,28.28,E
2025-09-30 09:35:27,28.27,27800,28.27,U
2025-09-30 09:35:30,28.23,50500,28.27,D
2025-09-30 09:35:33,28.25,33300,28.23,U
2025-09-30 09:35:36,28.26,40200,28.25,U
2025-09-30 09:35:39,28.25,19400,28.26,E
2025-09-30 09:35:42,28.23,22100,28.25,D
2025-09-30 09:35:45,28.25,12000,28.23,U
2025-09-30 09:35:48,28.26,27700,28.25,E
2025-09-30 09:35:51,28.27,7900,28.26,U
2025-09-30 09:35:54,28.27,15600,28.27,U
2025-09-30 09:35:57,28.23,8100,28.27,D
2025-09-30 09:36:00,28.21,11300,28.23,D
2025-09-30 09:36:06,28.13,37700,28.19,D
2025-09-30 09:36:12,28.1,12200,28.13,D
2025-09-30 09:36:21,28.04,10300,28.05,D
2025-09-30 09:36:24,27.99,29700,28.04,D
2025-09-30 09:36:30,28.0,16100,27.98,U
2025-09-30 09:36:39,28.04,14600,28.0,U
2025-09-30 09:36:42,28.04,10000,28.04,D
2025-09-30 09:36:48,28.04,8100,28.0,U
2025-09-30 09:36:54,28.0,32500,28.01,D
2025-09-30 09:36:57,28.04,9700,28.0,U
2025-09-30 09:37:00,27.97,18000,28.04,D
2025-09-30 09:37:03,28.01,35000,27.97,U
2025-09-30 09:37:18,28.01,52600,27.99,U
2025-09-30 09:37:21,28.05,45900,28.01,U
2025-09-30 09:37:27,28.02,14400,28.07,D
2025-09-30 09:37:39,28.1,12100,28.07,U
2025-09-30 09:37:48,28.09,13000,28.09,D
2025-09-30 09:37:51,28.12,56100,28.09,U
2025-09-30 09:37:54,28.13,9700,28.12,U
2025-09-30 09:38:00,28.15,8100,28.14,U
2025-09-30 09:38:09,28.19,7200,28.2,U
2025-09-30 09:38:12,28.17,9700,28.19,D
2025-09-30 09:38:15,28.17,11200,28.17,D
2025-09-30 09:38:18,28.17,8100,28.17,D
2025-09-30 09:38:21,28.17,9400,28.17,U
2025-09-30 09:38:24,28.17,16300,28.17,U
2025-09-30 09:38:27,28.17,8700,28.17,D
2025-09-30 09:38:36,28.13,13000,28.18,D
2025-09-30 09:38:39,28.16,61800,28.13,U
2025-09-30 09:38:51,28.14,9700,28.13,U
2025-09-30 09:38:57,28.13,9700,28.1,U
2025-09-30 09:39:03,28.09,14100,28.11,D
2025-09-30 09:39:09,28.09,15500,28.12,D
2025-09-30 09:39:15,28.07,12400,28.09,D
2025-09-30 09:39:24,28.0,38800,28.02,D
2025-09-30 09:39:27,28.0,11000,28.0,D
2025-09-30 09:39:30,28.01,15300,28.0,U
2025-09-30 09:39:33,28.05,34000,28.01,U
2025-09-30 09:39:36,28.05,16700,28.05,U
2025-09-30 09:39:48,28.01,32800,28.02,D
2025-09-30 09:39:57,28.02,7200,28.02,D
2025-09-30 09:40:12,28.01,9900,28.03,D
2025-09-30 09:40:15,28.01,9600,28.01,D
2025-09-30 09:40:18,27.97,12900,28.01,D
2025-09-30 09:40:21,27.93,30400,27.97,D
2025-09-30 09:40:30,27.95,9900,27.92,U
2025-09-30 09:40:33,27.9,17700,27.95,D
2025-09-30 09:40:36,27.95,10700,27.9,U
2025-09-30 09:40:39,27.95,13100,27.95,D
2025-09-30 09:40:42,27.93,11000,27.95,D
2025-09-30 09:40:48,27.97,28200,27.95,U
2025-09-30 09:41:00,27.95,12600,27.96,D
2025-09-30 09:41:06,27.97,29200,27.95,U
2025-09-30 09:41:09,27.98,8600,27.97,U
2025-09-30 09:41:12,27.94,11700,27.98,D
2025-09-30 09:41:21,27.9,26000,27.95,D
2025-09-30 09:41:42,27.95,7900,27.95,U
2025-09-30 09:41:45,27.95,16800,27.95,U
2025-09-30 09:41:54,27.97,12800,27.96,U
2025-09-30 09:41:57,27.99,25800,27.97,U
2025-09-30 09:42:00,28.01,17100,27.99,U
2025-09-30 09:42:21,28.07,7400,28.05,U
2025-09-30 09:42:27,28.11,7500,28.07,U
2025-09-30 09:42:33,28.1,8900,28.1,D
2025-09-30 09:42:42,28.1,11500,28.11,D
2025-09-30 09:42:48,28.07,17000,28.07,D
2025-09-30 09:43:00,28.04,8000,28.05,D
2025-09-30 09:43:03,28.06,9900,28.04,U
2025-09-30 09:43:12,28.06,10900,28.04,U
2025-09-30 09:43:24,28.04,12400,28.05,D
2025-09-30 09:43:30,28.06,16900,28.06,U
2025-09-30 09:43:33,28.05,21200,28.06,D
2025-09-30 09:43:42,27.98,23400,28.03,D
2025-09-30 09:44:12,27.93,13000,27.95,D
2025-09-30 09:44:21,27.94,8300,27.92,E
2025-09-30 09:44:27,27.94,18700,27.92,U
2025-09-30 09:44:30,27.94,41400,27.94,D
2025-09-30 09:44:36,27.92,44000,27.95,D
2025-09-30 09:44:42,27.95,24600,27.95,E
2025-09-30 09:44:45,27.92,15200,27.95,D
2025-09-30 09:44:54,27.91,29800,27.92,D
2025-09-30 09:45:03,27.91,7700,27.91,D
2025-09-30 09:45:06,27.91,13200,27.91,D
2025-09-30 09:45:18,27.95,7300,27.96,E
2025-09-30 09:45:27,27.94,27200,27.95,E
2025-09-30 09:45:39,27.95,7600,27.95,D
2025-09-30 09:45:48,27.95,8100,27.95,U
2025-09-30 09:45:51,27.99,16200,27.95,U
2025-09-30 09:46:03,27.96,7600,27.96,U
2025-09-30 09:46:18,27.95,7300,27.96,D
2025-09-30 09:46:24,27.91,25800,27.95,D
2025-09-30 09:46:27,27.89,9500,27.91,D
2025-09-30 09:46:30,27.9,15700,27.89,U
2025-09-30 09:46:45,27.87,9000,27.85,U
2025-09-30 09:46:48,27.85,30000,27.87,D
2025-09-30 09:46:54,27.84,47700,27.9,D
2025-09-30 09:47:03,27.85,11900,27.89,D
2025-09-30 09:47:12,27.84,13000,27.86,D
2025-09-30 09:47:15,27.83,63900,27.84,D
2025-09-30 09:47:18,27.83,21000,27.83,D
2025-09-30 09:47:21,27.82,8500,27.83,D
2025-09-30 09:47:24,27.84,60600,27.82,U
2025-09-30 09:47:27,27.82,27900,27.84,D
2025-09-30 09:47:39,27.85,12800,27.85,U
2025-09-30 09:47:42,27.88,27600,27.85,U
2025-09-30 09:47:45,27.88,8300,27.88,U
2025-09-30 09:47:51,27.88,7700,27.88,U
2025-09-30 09:47:54,27.9,37900,27.88,U
2025-09-30 09:48:06,27.91,14000,27.93,D
2025-09-30 09:48:09,27.93,13500,27.91,U
2025-09-30 09:48:18,27.91,14100,27.92,U
2025-09-30 09:48:27,27.9,9600,27.91,D
2025-09-30 09:48:30,27.91,11900,27.9,U
2025-09-30 09:48:45,27.91,50200,27.9,U
2025-09-30 09:49:09,27.95,9600,27.95,U
2025-09-30 09:49:15,27.95,21300,27.94,U
2025-09-30 09:49:18,28.0,8000,27.95,U
2025-09-30 09:49:30,27.96,8900,27.97,D
2025-09-30 09:49:42,28.0,7800,27.97,U
2025-09-30 09:49:45,27.97,10600,28.0,D
2025-09-30 09:50:06,28.01,18300,28.01,U
2025-09-30 09:50:12,28.01,10400,28.01,U
2025-09-30 09:50:33,28.03,13400,28.01,U
2025-09-30 09:50:36,27.99,17000,28.03,D
2025-09-30 09:50:51,28.0,15900,28.0,U
2025-09-30 09:51:00,28.0,9800,27.99,U
2025-09-30 09:51:03,27.97,22600,28.0,D
2025-09-30 09:51:15,28.0,19400,27.97,U
2025-09-30 09:51:27,27.96,19100,27.98,D
2025-09-30 09:51:30,27.96,10100,27.96,D
2025-09-30 09:51:33,27.98,25500,27.96,U
2025-09-30 09:51:57,27.97,11500,27.96,U
2025-09-30 09:52:00,28.02,115600,27.97,U
2025-09-30 09:52:06,28.03,21600,28.04,D
2025-09-30 09:52:15,28.09,13100,28.06,U
2025-09-30 09:52:18,28.07,15700,28.09,D
2025-09-30 09:52:33,28.11,10900,28.1,D
2025-09-30 09:52:45,28.12,10100,28.12,U
2025-09-30 09:52:51,28.12,18600,28.12,D
2025-09-30 09:52:54,28.12,8300,28.12,U
2025-09-30 09:52:57,28.09,18800,28.12,D
2025-09-30 09:53:00,28.07,19600,28.09,D
2025-09-30 09:53:03,28.03,16700,28.07,D
2025-09-30 09:53:27,27.99,9700,27.99,U
2025-09-30 09:53:30,27.99,7600,27.99,U
2025-09-30 09:53:39,27.98,8000,27.99,D
2025-09-30 09:53:57,27.94,49100,27.97,D
2025-09-30 09:54:03,27.93,17900,27.93,D
2025-09-30 09:54:18,27.91,8100,27.92,D
2025-09-30 09:54:21,27.92,19400,27.91,U
2025-09-30 09:54:24,27.92,14600,27.92,U
2025-09-30 09:54:33,27.88,45800,27.9,D
2025-09-30 09:55:06,27.88,30400,27.88,U
2025-09-30 09:55:39,27.91,10100,27.91,D
2025-09-30 09:55:57,27.92,8700,27.91,U
2025-09-30 09:56:15,27.89,18900,27.89,D
2025-09-30 09:56:18,27.89,21900,27.89,U
2025-09-30 09:56:21,27.88,26000,27.89,D
2025-09-30 09:56:27,27.88,8900,27.88,U
2025-09-30 09:56:30,27.87,9300,27.88,E
2025-09-30 09:56:33,27.86,7300,27.87,U
2025-09-30 09:57:09,27.87,11800,27.88,D
2025-09-30 09:57:12,27.88,7300,27.87,U
2025-09-30 09:57:18,27.86,27400,27.87,D
2025-09-30 09:57:21,27.85,10800,27.86,D
2025-09-30 09:57:33,27.87,12100,27.87,U
2025-09-30 09:57:48,27.86,21300,27.86,D
2025-09-30 09:57:51,27.85,9900,27.86,D
2025-09-30 09:57:54,27.85,7900,27.85,U
2025-09-30 09:57:57,27.83,13700,27.85,D
2025-09-30 09:58:03,27.83,17700,27.83,D
2025-09-30 09:58:18,27.81,17200,27.82,D
2025-09-30 09:58:21,27.8,8300,27.81,D
2025-09-30 09:58:24,27.8,14700,27.8,D
2025-09-30 09:58:36,27.8,7200,27.8,D
2025-09-30 09:58:39,27.8,31400,27.8,D
2025-09-30 09:58:48,27.79,18800,27.8,D
2025-09-30 09:58:54,27.81,27100,27.8,U
2025-09-30 09:59:06,27.77,9000,27.78,D
2025-09-30 09:59:09,27.77,30200,27.77,D
2025-09-30 09:59:15,27.79,33000,27.76,U
2025-09-30 09:59:18,27.85,44300,27.79,U
2025-09-30 09:59:27,27.79,8600,27.78,D
2025-09-30 09:59:39,27.8,11800,27.79,U
2025-09-30 09:59:42,27.79,32200,27.8,D
2025-09-30 09:59:54,27.79,13600,27.8,D
2025-09-30 09:59:57,27.8,12300,27.79,U
2025-09-30 10:00:00,27.79,10700,27.8,E
2025-09-30 10:00:03,27.77,60500,27.79,D
2025-09-30 10:00:06,27.75,16900,27.77,D
2025-09-30 10:00:09,27.73,10900,27.75,D
2025-09-30 10:00:15,27.68,125108,27.73,D
2025-09-30 10:00:18,27.68,24500,27.68,U
2025-09-30 10:00:21,27.68,25300,27.68,D
2025-09-30 10:00:33,27.69,13400,27.7,D
2025-09-30 10:00:39,27.67,14500,27.68,D
2025-09-30 10:00:42,27.68,18100,27.67,U
2025-09-30 10:00:45,27.66,24200,27.68,D
2025-09-30 10:00:48,27.67,8900,27.66,D
2025-09-30 10:00:54,27.65,34800,27.67,D
2025-09-30 10:00:57,27.67,13000,27.65,E
2025-09-30 10:01:03,27.68,8700,27.67,U
2025-09-30 10:01:06,27.66,10500,27.68,D
2025-09-30 10:01:09,27.67,21100,27.66,U
2025-09-30 10:01:12,27.68,16000,27.67,E
2025-09-30 10:01:15,27.71,23200,27.68,U
2025-09-30 10:01:18,27.7,13692,27.71,E
2025-09-30 10:01:30,27.74,17500,27.72,E
2025-09-30 10:01:36,27.7,9000,27.74,D
2025-09-30 10:01:42,27.7,17500,27.74,D
2025-09-30 10:02:03,27.71,12600,27.7,D
2025-09-30 10:03:12,27.73,9800,27.75,D
2025-09-30 10:03:15,27.73,10100,27.73,D
2025-09-30 10:03:24,27.71,7300,27.71,D
2025-09-30 10:03:30,27.74,8600,27.71,U
2025-09-30 10:03:54,27.76,22100,27.73,U
2025-09-30 10:04:06,27.74,8200,27.77,D
2025-09-30 10:04:09,27.75,8900,27.74,U
2025-09-30 10:05:12,27.75,8400,27.75,U
2025-09-30 10:05:33,27.76,13700,27.76,D
2025-09-30 10:06:12,27.76,7900,27.76,U
2025-09-30 10:06:18,27.76,7700,27.76,D
2025-09-30 10:06:27,27.76,8400,27.78,D
2025-09-30 10:06:51,27.76,12500,27.75,U
2025-09-30 10:07:03,27.76,8500,27.75,U
2025-09-30 10:07:12,27.78,10700,27.77,U
2025-09-30 10:07:15,27.8,13100,27.78,U
2025-09-30 10:07:21,27.82,23200,27.8,U
2025-09-30 10:07:45,27.82,8900,27.82,U
2025-09-30 10:08:33,27.87,16500,27.87,D
2025-09-30 10:08:36,27.87,8700,27.87,D
2025-09-30 10:08:39,27.87,17400,27.87,U
2025-09-30 10:08:42,27.86,9500,27.87,D
2025-09-30 10:08:54,27.86,10400,27.86,D
2025-09-30 10:09:00,27.86,20300,27.87,D
2025-09-30 10:09:06,27.87,10100,27.87,D
2025-09-30 10:09:42,27.87,8600,27.87,U
2025-09-30 10:09:45,27.86,12100,27.87,D
2025-09-30 10:09:54,27.87,10200,27.89,D
2025-09-30 10:10:09,27.87,26800,27.89,D
2025-09-30 10:10:15,27.87,17900,27.87,U
2025-09-30 10:11:09,27.82,13200,27.82,U
2025-09-30 10:11:12,27.82,7800,27.82,U
2025-09-30 10:11:24,27.85,25800,27.84,U
2025-09-30 10:11:54,27.82,9000,27.8,U
2025-09-30 10:12:03,27.8,7300,27.83,D
2025-09-30 10:12:27,27.81,7900,27.85,D
2025-09-30 10:13:21,27.82,7200,27.83,D
2025-09-30 10:13:24,27.82,8600,27.82,D
2025-09-30 10:13:36,27.81,11500,27.81,U
2025-09-30 10:13:39,27.82,9700,27.81,U
2025-09-30 10:13:42,27.81,21800,27.82,D
2025-09-30 10:13:45,27.81,8500,27.81,D
2025-09-30 10:13:57,27.8,21800,27.77,U
2025-09-30 10:14:00,27.77,23600,27.8,D
2025-09-30 10:14:12,27.77,15400,27.77,D
2025-09-30 10:14:18,27.76,9000,27.77,D
2025-09-30 10:14:24,27.77,11200,27.77,U
2025-09-30 10:14:27,27.77,9300,27.77,D
2025-09-30 10:14:30,27.77,7700,27.77,D
2025-09-30 10:14:33,27.78,10100,27.77,U
2025-09-30 10:14:36,27.78,7200,27.78,U
2025-09-30 10:14:42,27.78,9700,27.73,U
2025-09-30 10:14:45,27.78,7900,27.78,D
2025-09-30 10:15:03,27.82,27100,27.78,U
2025-09-30 10:15:48,27.75,25100,27.76,D
2025-09-30 10:16:00,27.74,35700,27.74,E
2025-09-30 10:16:09,27.73,7300,27.74,E
2025-09-30 10:16:12,27.72,7500,27.73,D
2025-09-30 10:17:09,27.73,12400,27.73,D
2025-09-30 10:17:18,27.72,19500,27.73,D
2025-09-30 10:17:21,27.72,14600,27.72,U
2025-09-30 10:17:24,27.75,8700,27.72,U
2025-09-30 10:17:39,27.74,12300,27.73,E
2025-09-30 10:17:54,27.71,18900,27.72,D
2025-09-30 10:17:57,27.71,8700,27.71,D
2025-09-30 10:18:15,27.72,9700,27.72,D
2025-09-30 10:18:18,27.71,10500,27.72,D
2025-09-30 10:18:21,27.69,67000,27.71,D
2025-09-30 10:18:30,27.68,17000,27.68,D
2025-09-30 10:18:36,27.68,9300,27.68,D
2025-09-30 10:18:39,27.68,12200,27.68,U
2025-09-30 10:19:15,27.69,12300,27.7,D
2025-09-30 10:19:27,27.7,21500,27.7,U
2025-09-30 10:19:33,27.71,37600,27.71,U
2025-09-30 10:19:48,27.71,181900,27.72,D
2025-09-30 10:20:00,27.69,17400,27.72,D
2025-09-30 10:20:15,27.71,18900,27.72,E
2025-09-30 10:20:21,27.73,21300,27.71,U
2025-09-30 10:20:24,27.74,21700,27.73,U
2025-09-30 10:20:33,27.74,18400,27.74,U
2025-09-30 10:20:42,27.73,9800,27.74,D
2025-09-30 10:20:48,27.71,12500,27.73,D
2025-09-30 10:20:57,27.74,12800,27.73,U
2025-09-30 10:21:42,27.72,16600,27.74,D
2025-09-30 10:21:45,27.72,7400,27.72,D
2025-09-30 10:21:54,27.72,11100,27.73,D
2025-09-30 10:22:03,27.71,7500,27.71,D
2025-09-30 10:22:06,27.71,8400,27.71,D
2025-09-30 10:22:09,27.71,8200,27.71,D
2025-09-30 10:22:12,27.71,26100,27.71,D
2025-09-30 10:22:21,27.71,24000,27.71,D
2025-09-30 10:22:42,27.71,10200,27.71,D
2025-09-30 10:22:45,27.7,14100,27.71,D
2025-09-30 10:22:54,27.71,8500,27.71,D
2025-09-30 10:22:57,27.75,32800,27.71,U
2025-09-30 10:23:00,27.75,10500,27.75,U
2025-09-30 10:23:24,27.73,16800,27.73,D
2025-09-30 10:23:36,27.76,12500,27.75,E
2025-09-30 10:24:00,27.82,41600,27.77,U
2025-09-30 10:25:00,27.84,7300,27.82,U
2025-09-30 10:25:09,27.8,26700,27.84,E
2025-09-30 10:25:21,27.81,11000,27.8,U
2025-09-30 10:26:00,27.79,12400,27.81,D
2025-09-30 10:26:30,27.77,8000,27.76,U
2025-09-30 10:27:30,27.76,10200,27.75,U
2025-09-30 10:27:33,27.74,13000,27.76,D
2025-09-30 10:27:39,27.76,15800,27.74,U
