股票代码: 002565
股票名称: 顺灏股份
所属板块: 包装材料
分时数据时间范围: 20250929 到 20251013
K线数据时间范围: 20250714 到 20251013
小时量能数据时间范围: 20250916 到 20251013

=== 分时成交数据 ===
ticktime,price,volume,prev_price,kind
2025-09-29 09:25:00,7.14,142600,0.0,D
2025-09-29 09:30:03,7.18,50800,7.15,U
2025-09-29 09:30:09,7.15,49900,7.18,D
2025-09-29 09:30:15,7.16,109100,7.17,U
2025-09-29 09:30:45,7.18,60500,7.17,U
2025-09-29 09:30:48,7.21,180500,7.18,U
2025-09-29 09:30:51,7.22,64300,7.21,U
2025-09-29 09:30:54,7.23,20900,7.22,U
2025-09-29 09:30:57,7.23,71200,7.23,D
2025-09-29 09:31:09,7.24,20400,7.25,D
2025-09-29 09:31:18,7.24,53400,7.23,U
2025-09-29 09:31:21,7.26,58400,7.24,U
2025-09-29 09:31:30,7.27,41000,7.27,U
2025-09-29 09:31:36,7.28,41300,7.27,U
2025-09-29 09:31:42,7.27,34100,7.26,U
2025-09-29 09:31:45,7.27,39900,7.27,U
2025-09-29 09:31:48,7.29,500300,7.27,U
2025-09-29 09:31:51,7.27,124700,7.29,D
2025-09-29 09:31:54,7.28,20600,7.27,U
2025-09-29 09:32:00,7.28,57000,7.28,D
2025-09-29 09:32:03,7.28,41000,7.28,U
2025-09-29 09:32:09,7.27,90500,7.27,U
2025-09-29 09:32:12,7.3,53500,7.27,U
2025-09-29 09:32:21,7.33,226600,7.3,U
2025-09-29 09:32:24,7.33,20700,7.33,D
2025-09-29 09:32:27,7.34,38800,7.33,U
2025-09-29 09:32:30,7.35,91900,7.34,U
2025-09-29 09:32:33,7.35,109700,7.35,U
2025-09-29 09:32:36,7.35,48100,7.35,U
2025-09-29 09:32:39,7.34,52800,7.35,D
2025-09-29 09:32:45,7.34,24400,7.34,U
2025-09-29 09:32:48,7.33,64400,7.34,D
2025-09-29 09:32:51,7.32,52900,7.33,D
2025-09-29 09:32:54,7.35,368400,7.32,U
2025-09-29 09:32:57,7.36,50500,7.35,U
2025-09-29 09:33:00,7.35,25400,7.36,D
2025-09-29 09:33:03,7.35,77800,7.35,D
2025-09-29 09:33:06,7.36,20200,7.35,U
2025-09-29 09:33:09,7.35,24900,7.36,D
2025-09-29 09:33:15,7.35,32300,7.35,U
2025-09-29 09:33:30,7.32,29700,7.33,E
2025-09-29 09:33:33,7.3,86200,7.32,D
2025-09-29 09:33:39,7.31,26600,7.31,U
2025-09-29 09:33:45,7.3,54100,7.3,E
2025-09-29 09:33:51,7.32,210200,7.3,U
2025-09-29 09:33:54,7.32,59100,7.32,D
2025-09-29 09:34:00,7.34,126600,7.34,U
2025-09-29 09:34:03,7.34,21100,7.34,D
2025-09-29 09:34:06,7.33,34900,7.34,D
2025-09-29 09:34:09,7.33,33200,7.33,D
2025-09-29 09:34:15,7.31,21000,7.32,D
2025-09-29 09:34:30,7.34,95700,7.31,U
2025-09-29 09:34:36,7.33,44000,7.33,D
2025-09-29 09:34:39,7.32,64900,7.33,E
2025-09-29 09:34:42,7.31,110300,7.32,D
2025-09-29 09:34:45,7.33,38300,7.31,U
2025-09-29 09:35:03,7.3,101800,7.32,D
2025-09-29 09:35:12,7.3,35400,7.32,D
2025-09-29 09:35:21,7.31,26100,7.3,U
2025-09-29 09:35:36,7.32,24100,7.3,U
2025-09-29 09:35:39,7.3,242400,7.32,D
2025-09-29 09:36:06,7.31,57100,7.32,D
2025-09-29 09:36:09,7.3,98300,7.31,D
2025-09-29 09:36:30,7.3,28700,7.31,D
2025-09-29 09:36:33,7.31,65900,7.3,U
2025-09-29 09:36:39,7.31,25900,7.32,D
2025-09-29 09:36:42,7.31,25300,7.31,E
2025-09-29 09:36:48,7.32,159300,7.31,U
2025-09-29 09:37:09,7.29,96900,7.31,D
2025-09-29 09:37:15,7.28,63000,7.29,D
2025-09-29 09:37:24,7.32,23400,7.32,U
2025-09-29 09:37:42,7.31,52500,7.31,U
2025-09-29 09:37:48,7.29,21300,7.28,D
2025-09-29 09:37:51,7.3,20000,7.29,U
2025-09-29 09:38:00,7.28,111800,7.29,D
2025-09-29 09:38:03,7.29,27400,7.28,U
2025-09-29 09:38:06,7.28,100800,7.29,D
2025-09-29 09:38:24,7.29,20600,7.29,E
2025-09-29 09:38:27,7.28,51500,7.29,E
2025-09-29 09:38:36,7.28,46400,7.29,E
2025-09-29 09:39:18,7.25,27900,7.25,D
2025-09-29 09:39:42,7.27,30000,7.27,U
