股票代码: 600584
股票名称: 长电科技
所属板块: 半导体
分时数据时间范围: 20250929 到 20251013
K线数据时间范围: 20250714 到 20251013
小时量能数据时间范围: 20250916 到 20251013

=== 分时成交数据 ===
ticktime,price,volume,prev_price,kind
2025-09-29 09:25:00,41.33,959772,0.0,U
2025-09-29 09:30:02,41.35,65500,41.33,U
2025-09-29 09:30:05,41.35,53200,41.35,D
2025-09-29 09:30:08,41.38,273200,41.35,D
2025-09-29 09:30:11,41.4,108900,41.38,E
2025-09-29 09:30:14,41.43,138700,41.4,U
2025-09-29 09:30:17,41.33,173728,41.43,D
2025-09-29 09:30:20,41.34,84100,41.33,U
2025-09-29 09:30:23,41.4,95600,41.34,U
2025-09-29 09:30:26,41.34,125400,41.4,D
2025-09-29 09:30:29,41.33,119800,41.34,D
2025-09-29 09:30:32,41.3,171900,41.33,D
2025-09-29 09:30:35,41.25,135700,41.3,D
2025-09-29 09:30:38,41.28,44600,41.25,U
2025-09-29 09:30:41,41.23,45100,41.28,E
2025-09-29 09:30:44,41.19,54700,41.23,D
2025-09-29 09:30:47,41.18,49200,41.19,D
2025-09-29 09:30:50,41.18,38000,41.18,U
2025-09-29 09:30:53,41.18,59100,41.18,D
2025-09-29 09:30:56,41.21,75200,41.18,U
2025-09-29 09:30:59,41.25,33900,41.21,U
2025-09-29 09:31:02,41.23,41500,41.25,D
2025-09-29 09:31:05,41.28,19100,41.23,U
2025-09-29 09:31:08,41.28,31500,41.28,D
2025-09-29 09:31:11,41.28,51432,41.28,D
2025-09-29 09:31:14,41.32,72500,41.28,E
2025-09-29 09:31:17,41.33,50000,41.32,U
2025-09-29 09:31:20,41.33,65800,41.33,D
2025-09-29 09:31:23,41.34,21100,41.33,U
2025-09-29 09:31:26,41.35,17000,41.34,U
2025-09-29 09:31:29,41.36,32600,41.35,U
2025-09-29 09:31:32,41.39,90400,41.36,U
2025-09-29 09:31:35,41.4,61100,41.39,U
2025-09-29 09:31:38,41.42,52600,41.4,U
2025-09-29 09:31:41,41.42,15700,41.42,D
2025-09-29 09:31:44,41.44,44300,41.42,D
2025-09-29 09:31:47,41.47,37600,41.44,U
2025-09-29 09:31:50,41.49,12100,41.47,U
2025-09-29 09:31:53,41.53,42700,41.49,U
2025-09-29 09:31:56,41.53,21000,41.53,U
2025-09-29 09:31:59,41.55,73872,41.53,U
2025-09-29 09:32:02,41.55,63000,41.55,D
2025-09-29 09:32:05,41.4,460628,41.55,D
2025-09-29 09:32:08,41.49,99800,41.4,U
2025-09-29 09:32:11,41.49,55100,41.49,U
2025-09-29 09:32:14,41.48,71400,41.49,U
2025-09-29 09:32:17,41.54,148200,41.48,U
2025-09-29 09:32:20,41.54,35200,41.54,D
2025-09-29 09:32:23,41.53,43100,41.54,E
2025-09-29 09:32:26,41.5,43700,41.53,D
2025-09-29 09:32:29,41.5,68500,41.5,U
2025-09-29 09:32:32,41.5,39675,41.5,U
2025-09-29 09:32:35,41.5,56825,41.5,D
2025-09-29 09:32:38,41.58,330500,41.5,U
2025-09-29 09:32:41,41.58,51300,41.58,D
2025-09-29 09:32:44,41.56,36700,41.58,E
2025-09-29 09:32:47,41.55,32200,41.56,U
2025-09-29 09:32:50,41.55,38100,41.55,D
2025-09-29 09:32:53,41.57,62000,41.55,U
2025-09-29 09:32:56,41.56,65200,41.57,D
2025-09-29 09:32:59,41.55,72200,41.56,D
2025-09-29 09:33:02,41.55,96700,41.55,D
2025-09-29 09:33:05,41.5,59300,41.55,D
2025-09-29 09:33:08,41.57,94100,41.5,U
2025-09-29 09:33:11,41.62,74900,41.57,U
2025-09-29 09:33:14,41.66,93500,41.62,U
2025-09-29 09:33:17,41.64,43800,41.66,E
2025-09-29 09:33:20,41.66,37600,41.64,U
2025-09-29 09:33:23,41.65,89300,41.66,D
2025-09-29 09:33:26,41.66,52100,41.65,U
2025-09-29 09:33:29,41.64,56600,41.66,E
2025-09-29 09:33:32,41.54,136900,41.64,D
2025-09-29 09:33:35,41.52,77500,41.54,E
2025-09-29 09:33:38,41.47,12100,41.52,D
2025-09-29 09:33:41,41.45,22900,41.47,D
2025-09-29 09:33:44,41.45,12600,41.45,D
2025-09-29 09:33:47,41.46,24200,41.45,U
2025-09-29 09:33:50,41.47,31300,41.46,D
2025-09-29 09:33:53,41.45,28600,41.47,D
2025-09-29 09:33:56,41.45,30300,41.45,D
2025-09-29 09:33:59,41.41,34500,41.45,D
2025-09-29 09:34:02,41.4,78700,41.41,D
2025-09-29 09:34:05,41.34,109200,41.4,D
2025-09-29 09:34:08,41.32,31200,41.34,D
2025-09-29 09:34:11,41.33,47700,41.32,U
2025-09-29 09:34:14,41.3,17200,41.33,D
2025-09-29 09:34:17,41.3,26500,41.3,D
2025-09-29 09:34:20,41.32,110311,41.3,U
2025-09-29 09:34:23,41.3,18900,41.32,D
2025-09-29 09:34:26,41.3,48700,41.3,D
2025-09-29 09:34:29,41.3,58700,41.3,D
2025-09-29 09:34:32,41.31,41100,41.3,D
