股票代码: 601126
股票名称: 四方股份
所属板块: 电网设备
分时数据时间范围: 20250930 到 20251014
K线数据时间范围: 20250715 到 20251014
小时量能数据时间范围: 20250916 到 20251014

=== 分时成交数据 ===
ticktime,price,volume,prev_price,kind
2025-09-30 09:25:00,19.15,69200,0.0,U
2025-09-30 09:30:12,19.17,14600,19.17,D
2025-09-30 09:30:15,19.15,25800,19.17,D
2025-09-30 09:30:18,19.13,14300,19.15,D
2025-09-30 09:30:21,19.15,46100,19.13,U
2025-09-30 09:30:27,19.13,16900,19.14,D
2025-09-30 09:30:33,19.12,64600,19.13,D
2025-09-30 09:30:36,19.0,51100,19.12,D
2025-09-30 09:30:39,19.0,12100,19.0,D
2025-09-30 09:30:42,19.0,35300,19.0,D
2025-09-30 09:30:45,19.0,34400,19.0,U
2025-09-30 09:30:48,19.01,18700,19.0,E
2025-09-30 09:30:51,19.02,22100,19.01,E
2025-09-30 09:31:00,19.08,12600,19.07,U
2025-09-30 09:31:03,19.08,34700,19.08,U
2025-09-30 09:31:12,19.12,25400,19.11,U
2025-09-30 09:31:15,19.12,11600,19.12,U
2025-09-30 09:31:24,19.15,19500,19.15,D
2025-09-30 09:31:27,19.14,11300,19.15,D
2025-09-30 09:31:30,19.15,50900,19.14,U
2025-09-30 09:31:33,19.13,19400,19.15,E
2025-09-30 09:31:42,19.1,12400,19.1,D
2025-09-30 09:32:00,19.1,34815,19.1,D
2025-09-30 09:32:03,19.11,14900,19.1,U
2025-09-30 09:32:09,19.1,12900,19.1,U
2025-09-30 09:32:18,19.12,88500,19.12,D
2025-09-30 09:32:30,19.11,12600,19.11,D
2025-09-30 09:32:48,19.11,40300,19.13,D
2025-09-30 09:32:51,19.13,18300,19.11,U
2025-09-30 09:32:57,19.13,25400,19.13,D
2025-09-30 09:33:00,19.15,34800,19.13,U
2025-09-30 09:33:12,19.2,26600,19.17,U
2025-09-30 09:33:39,19.16,32300,19.16,U
2025-09-30 09:34:12,19.12,44000,19.16,D
2025-09-30 09:34:15,19.11,18400,19.12,D
2025-09-30 09:34:18,19.1,14500,19.11,D
2025-09-30 09:34:30,19.09,11300,19.1,D
2025-09-30 09:35:00,19.09,19800,19.09,U
2025-09-30 09:35:45,19.07,11900,19.06,U
2025-09-30 09:35:54,19.07,26200,19.05,U
2025-09-30 09:35:57,19.07,19700,19.07,U
2025-09-30 09:36:15,19.07,33000,19.05,U
2025-09-30 09:36:33,19.06,50600,19.09,D
2025-09-30 09:36:36,19.06,12300,19.06,U
2025-09-30 09:36:42,19.06,16900,19.06,D
2025-09-30 09:36:45,19.05,27300,19.06,D
2025-09-30 09:36:51,19.05,13100,19.05,D
2025-09-30 09:37:06,19.0,32100,19.04,D
2025-09-30 09:37:12,18.98,35600,19.01,D
2025-09-30 09:37:15,18.98,19600,18.98,U
2025-09-30 09:37:30,18.99,92200,18.97,U
2025-09-30 09:37:33,18.96,85100,18.99,D
2025-09-30 09:37:39,18.95,19200,18.96,D
2025-09-30 09:37:42,18.96,19000,18.95,D
2025-09-30 09:37:54,18.96,34600,18.97,D
2025-09-30 09:37:57,18.97,17900,18.96,U
2025-09-30 09:38:03,18.99,25900,18.99,U
2025-09-30 09:38:06,19.01,13500,18.99,U
2025-09-30 09:38:09,18.98,12000,19.01,D
2025-09-30 09:38:15,18.98,28000,18.97,U
2025-09-30 09:38:18,18.95,58600,18.98,D
2025-09-30 09:38:21,18.96,55500,18.95,U
2025-09-30 09:38:27,18.98,11500,18.96,U
2025-09-30 09:38:30,18.95,49600,18.98,D
2025-09-30 09:38:33,18.95,14700,18.95,D
2025-09-30 09:38:48,18.96,12900,18.95,U
2025-09-30 09:39:03,18.96,38900,18.96,D
2025-09-30 09:39:06,18.98,39500,18.96,D
2025-09-30 09:39:45,19.02,14400,19.03,E
2025-09-30 09:39:54,19.05,14300,19.03,U
2025-09-30 09:40:39,19.05,26400,19.05,D
2025-09-30 09:40:42,19.05,21300,19.05,D
2025-09-30 09:40:57,19.02,51700,19.04,D
2025-09-30 09:41:03,19.0,11800,19.01,D
2025-09-30 09:41:06,19.0,33600,19.0,U
2025-09-30 09:41:09,19.01,51400,19.0,E
2025-09-30 09:41:21,19.05,31400,19.03,U
2025-09-30 09:41:33,19.04,41400,19.03,U
2025-09-30 09:42:12,19.08,18900,19.06,U
2025-09-30 09:42:33,19.04,13200,19.06,D
2025-09-30 09:42:54,19.04,29800,19.05,D
2025-09-30 09:42:57,19.04,11200,19.04,U
2025-09-30 09:43:03,19.06,18100,19.06,U
