股票代码: 603271
股票名称: XD永杰新
所属板块: 有色金属
分时数据时间范围: 20250929 到 20251013
K线数据时间范围: 20250714 到 20251013
小时量能数据时间范围: 20250916 到 20251013

=== 分时成交数据 ===
ticktime,price,volume,prev_price,kind
2025-09-29 09:25:00,40.73,17100,0.0,U
2025-09-29 09:30:00,40.85,6400,40.73,U
2025-09-29 09:30:10,40.85,5700,40.92,D
2025-09-29 09:30:13,40.75,8300,40.85,D
2025-09-29 09:30:16,41.0,12900,40.75,U
2025-09-29 09:30:25,41.0,6963,40.92,U
2025-09-29 09:30:28,40.98,5537,41.0,D
2025-09-29 09:30:52,40.99,13800,41.01,D
2025-09-29 09:32:04,40.99,11400,40.94,U
2025-09-29 09:33:46,40.85,8300,40.88,D
2025-09-29 09:34:13,40.73,7500,40.76,D
2025-09-29 09:34:19,40.76,5200,40.73,U
2025-09-29 09:34:22,40.7,8300,40.76,D
2025-09-29 09:35:07,40.69,6100,40.68,U
2025-09-29 09:35:25,40.6,7100,40.63,D
2025-09-29 09:37:01,40.45,16400,40.52,D
2025-09-29 09:37:34,40.37,11700,40.36,E
2025-09-29 09:39:07,40.35,13700,40.44,D
2025-09-29 09:39:13,40.3,11500,40.33,D
2025-09-29 09:39:46,40.12,9800,40.17,D
2025-09-29 09:39:49,40.11,5300,40.12,D
2025-09-29 09:40:01,40.13,9400,40.19,D
2025-09-29 09:42:01,40.13,9300,40.17,D
2025-09-29 09:42:04,40.1,11400,40.13,D
2025-09-29 09:42:10,40.15,8200,40.1,U
2025-09-29 09:44:19,40.2,6600,40.23,D
2025-09-29 09:44:55,40.19,11500,40.2,D
2025-09-29 09:45:52,40.19,10600,40.2,D
2025-09-29 09:49:46,40.32,7906,40.28,U
2025-09-29 09:52:52,40.3,6200,40.3,D
2025-09-29 09:53:25,40.26,5700,40.26,D
2025-09-29 09:54:19,40.18,9700,40.2,D
2025-09-29 09:54:55,40.13,6500,40.17,D
2025-09-29 09:55:31,40.12,5100,40.16,D
2025-09-29 09:56:01,40.12,5100,40.13,D
2025-09-29 09:57:01,40.19,10100,40.19,D
2025-09-29 09:59:55,40.3,7600,40.35,D
2025-09-29 09:59:58,40.4,6800,40.3,U
2025-09-29 10:00:01,40.31,6100,40.4,D
2025-09-29 10:04:07,40.19,8300,40.2,D
2025-09-29 10:10:04,40.39,6300,40.34,U
2025-09-29 10:18:40,40.2,20000,40.28,D
2025-09-29 10:19:25,40.25,7600,40.24,U
2025-09-29 10:19:31,40.26,5600,40.25,U
2025-09-29 10:19:49,40.28,5000,40.29,D
2025-09-29 10:22:16,40.31,6300,40.31,U
2025-09-29 10:26:19,40.42,5400,40.42,D
2025-09-29 10:28:43,40.34,10700,40.36,D
2025-09-29 10:30:43,40.49,8700,40.47,U
2025-09-29 10:30:52,40.45,7300,40.48,D
2025-09-29 10:35:31,40.46,6300,40.47,E
2025-09-29 10:37:01,40.46,7300,40.45,U
2025-09-29 10:39:16,40.42,31600,40.48,D
2025-09-29 10:40:01,40.4,6100,40.48,D
2025-09-29 10:57:25,40.44,5000,40.42,U
2025-09-29 11:06:13,40.53,5400,40.52,U
2025-09-29 11:11:04,40.41,5300,40.47,D
2025-09-29 11:13:19,40.45,8300,40.41,U
2025-09-29 13:09:04,40.49,7000,40.5,D
2025-09-29 13:10:04,40.46,10400,40.48,D
2025-09-29 13:10:07,40.47,6900,40.46,U
2025-09-29 13:22:07,40.36,8200,40.38,D
2025-09-29 13:31:34,40.34,6800,40.37,D
2025-09-29 13:35:16,40.38,6149,40.41,D
2025-09-29 13:41:22,40.37,5000,40.37,U
2025-09-29 13:43:22,40.34,6600,40.35,D
2025-09-29 13:48:04,40.29,5100,40.32,D
2025-09-29 13:49:34,40.3,5900,40.3,U
2025-09-29 13:56:34,40.39,12100,40.42,D
2025-09-29 14:01:49,40.39,13700,40.45,D
2025-09-29 14:07:49,40.4,8000,40.41,D
2025-09-29 14:09:49,40.38,5500,40.39,D
2025-09-29 14:11:07,40.32,7200,40.34,D
2025-09-29 14:11:49,40.28,5700,40.3,D
2025-09-29 14:11:52,40.28,8600,40.28,D
2025-09-29 14:11:55,40.26,7400,40.28,D
2025-09-29 14:13:25,40.3,10500,40.31,E
2025-09-29 14:17:04,40.26,19472,40.3,D
2025-09-29 14:31:55,40.32,9100,40.33,D
2025-09-29 14:32:01,40.32,6100,40.32,D
2025-09-29 14:45:40,40.35,5100,40.35,U
2025-09-29 14:47:16,40.31,14700,40.33,D
2025-09-29 14:48:16,40.33,6500,40.32,U
2025-09-29 14:48:55,40.33,9200,40.34,D
2025-09-29 14:48:58,40.33,5300,40.33,U
2025-09-29 14:49:52,40.31,16700,40.32,D
2025-09-29 14:50:04,40.29,24225,40.31,D
2025-09-29 14:50:07,40.29,11300,40.29,D
2025-09-29 14:50:13,40.27,5022,40.29,D
2025-09-29 14:50:37,40.25,6400,40.28,D
2025-09-29 14:51:49,40.25,18700,40.27,D
2025-09-29 14:51:52,40.24,7100,40.25,D
2025-09-29 14:55:13,40.24,10100,40.25,D
2025-09-29 14:55:37,40.24,8400,40.24,D
2025-09-29 14:56:16,40.23,7504,40.23,D
2025-09-29 14:56:28,40.22,9200,40.23,D
2025-09-29 14:56:40,40.21,6600,40.22,D
2025-09-29 14:56:49,40.2,17300,40.2,D
2025-09-29 15:00:03,40.21,33442,40.19,U
2025-09-30 09:25:00,40.15,10400,0.0,U
2025-09-30 09:32:31,40.24,5100,40.27,D
2025-09-30 09:33:07,40.31,6000,40.3,E
2025-09-30 09:33:28,40.36,10500,40.31,U
2025-09-30 09:35:16,40.55,18600,40.42,U
2025-09-30 09:35:19,40.56,6100,40.55,E
2025-09-30 09:35:43,40.55,5400,40.58,D
2025-09-30 09:37:34,40.51,5300,40.5,E
2025-09-30 09:37:40,40.6,12800,40.55,U
2025-09-30 09:37:55,40.66,13800,40.59,U
2025-09-30 09:37:58,40.69,5100,40.66,U
2025-09-30 09:38:01,40.69,6800,40.69,D
2025-09-30 09:38:16,40.98,21100,40.78,U
2025-09-30 09:38:31,40.93,5300,40.93,E
2025-09-30 09:38:52,40.91,5800,40.94,D
2025-09-30 09:39:01,40.93,9900,40.91,U
2025-09-30 09:39:04,40.98,34000,40.93,U
2025-09-30 09:39:07,40.95,9900,40.98,D
2025-09-30 09:39:10,40.93,9200,40.95,D
2025-09-30 09:39:13,40.9,5400,40.93,D
2025-09-30 09:39:58,40.77,5700,40.75,E
2025-09-30 09:40:01,40.8,9900,40.77,U
2025-09-30 09:40:04,40.77,6300,40.8,D
2025-09-30 09:40:22,40.82,5500,40.82,D
2025-09-30 09:42:10,40.75,5100,40.77,D
2025-09-30 09:43:13,40.77,16800,40.71,U
2025-09-30 09:43:16,40.72,6000,40.77,D
2025-09-30 09:47:46,40.7,6926,40.67,U
2025-09-30 09:50:28,40.63,5000,40.66,D
2025-09-30 09:51:46,40.47,5900,40.48,D
