股票代码: 603301
股票名称: 振德医疗
所属板块: 医疗器械
分时数据时间范围: 20250930 到 20251014
K线数据时间范围: 20250715 到 20251014
小时量能数据时间范围: 20250916 到 20251014

=== 分时成交数据 ===
ticktime,price,volume,prev_price,kind
2025-09-30 09:25:00,43.55,33000,0.0,U
2025-09-30 09:30:10,43.6,5800,43.65,E
2025-09-30 09:30:16,43.59,4700,43.63,D
2025-09-30 09:30:19,43.59,12100,43.59,D
2025-09-30 09:30:22,43.59,10700,43.59,D
2025-09-30 09:30:34,43.63,6700,43.62,U
2025-09-30 09:30:37,43.59,7100,43.63,D
2025-09-30 09:30:40,43.69,28200,43.59,U
2025-09-30 09:30:43,43.7,14600,43.69,U
2025-09-30 09:30:55,43.7,4900,43.71,D
2025-09-30 09:30:58,43.78,16400,43.7,U
2025-09-30 09:31:28,43.86,6900,43.9,D
2025-09-30 09:31:34,44.0,10000,43.93,U
2025-09-30 09:31:37,44.0,58100,44.0,U
2025-09-30 09:31:40,44.0,51800,44.0,U
2025-09-30 09:31:43,44.0,12800,44.0,U
2025-09-30 09:31:52,44.2,5500,44.13,U
2025-09-30 09:31:55,44.2,6800,44.2,U
2025-09-30 09:31:58,44.19,8400,44.2,D
2025-09-30 09:32:01,44.19,14900,44.19,U
2025-09-30 09:32:04,44.03,5600,44.19,D
2025-09-30 09:32:07,43.9,17500,44.03,D
2025-09-30 09:32:10,43.81,6600,43.9,D
2025-09-30 09:32:16,43.87,4800,43.83,U
2025-09-30 09:32:25,43.7,17400,43.77,D
2025-09-30 09:32:49,43.58,4600,43.58,D
2025-09-30 09:32:58,43.61,11500,43.57,U
2025-09-30 09:33:01,43.6,6500,43.61,D
2025-09-30 09:33:04,43.59,10100,43.6,D
2025-09-30 09:33:25,43.89,32600,43.76,U
2025-09-30 09:33:28,44.0,12100,43.89,U
2025-09-30 09:33:31,44.02,10000,44.0,U
2025-09-30 09:33:49,44.04,8400,44.11,D
2025-09-30 09:33:58,43.97,5500,44.01,D
2025-09-30 09:34:01,44.06,11500,43.97,U
2025-09-30 09:34:13,44.06,5600,44.07,D
2025-09-30 09:34:19,44.05,6300,44.01,E
2025-09-30 09:35:31,43.8,5600,43.8,D
2025-09-30 09:36:10,44.01,14400,43.85,U
2025-09-30 09:36:25,44.06,6800,44.04,U
2025-09-30 09:36:31,44.08,9600,44.06,U
2025-09-30 09:36:58,44.04,6700,44.05,D
2025-09-30 09:37:01,44.0,5400,44.04,D
2025-09-30 09:37:22,44.03,13600,43.95,U
2025-09-30 09:37:34,44.05,4800,44.03,E
2025-09-30 09:37:37,44.13,10100,44.05,U
2025-09-30 09:38:43,44.01,8700,44.0,U
2025-09-30 09:38:55,44.05,15200,44.05,D
2025-09-30 09:39:01,44.27,28600,44.08,U
2025-09-30 09:39:04,44.35,6000,44.27,U
2025-09-30 09:39:10,44.32,5400,44.38,D
2025-09-30 09:39:13,44.32,6700,44.32,D
2025-09-30 09:39:37,44.28,36900,44.21,U
2025-09-30 09:39:40,44.33,8400,44.28,U
2025-09-30 09:39:58,44.34,5700,44.34,U
2025-09-30 09:40:04,44.34,4800,44.34,U
2025-09-30 09:40:07,44.34,9300,44.34,D
2025-09-30 09:40:10,44.39,10700,44.34,U
2025-09-30 09:40:16,44.42,11500,44.39,U
2025-09-30 09:40:19,44.48,10400,44.42,U
2025-09-30 09:40:22,44.49,7000,44.48,U
2025-09-30 09:40:28,44.52,5700,44.5,U
2025-09-30 09:40:37,44.52,6500,44.5,U
2025-09-30 09:40:40,44.52,10100,44.52,U
2025-09-30 09:40:49,44.54,7100,44.56,D
2025-09-30 09:40:52,44.57,6100,44.54,D
2025-09-30 09:41:01,44.47,26500,44.55,D
2025-09-30 09:41:16,44.4,7200,44.36,E
2025-09-30 09:41:19,44.4,12400,44.4,D
2025-09-30 09:41:25,44.56,7900,44.43,U
2025-09-30 09:41:28,44.52,5500,44.56,D
2025-09-30 09:41:31,44.54,12300,44.52,E
2025-09-30 09:41:34,44.56,5300,44.54,U
2025-09-30 09:41:46,44.46,16300,44.5,D
2025-09-30 09:42:19,44.28,6200,44.31,D
2025-09-30 09:42:37,44.3,14800,44.27,U
2025-09-30 09:42:46,44.3,4700,44.3,D
2025-09-30 09:42:49,44.4,8200,44.3,U
2025-09-30 09:43:28,44.46,12900,44.42,U
2025-09-30 09:43:58,44.44,5400,44.41,U
2025-09-30 09:44:07,44.44,8300,44.43,U
2025-09-30 09:44:52,44.36,5600,44.38,D
2025-09-30 09:45:01,44.49,18100,44.42,U
2025-09-30 09:45:04,44.55,24000,44.49,U
2025-09-30 09:45:07,44.56,15600,44.55,U
2025-09-30 09:45:16,44.57,6900,44.56,U
2025-09-30 09:45:19,44.77,54300,44.57,U
2025-09-30 09:45:28,44.8,10100,44.8,U
2025-09-30 09:45:40,44.82,6200,44.83,D
2025-09-30 09:45:46,44.82,10500,44.82,U
2025-09-30 09:45:49,44.83,8700,44.82,U
2025-09-30 09:45:52,44.82,7400,44.83,D
2025-09-30 09:45:58,44.82,5200,44.82,U
2025-09-30 09:46:04,44.98,33800,44.83,U
2025-09-30 09:46:07,44.94,7500,44.98,D
2025-09-30 09:46:10,45.06,92600,44.94,U
2025-09-30 09:46:22,45.2,11500,45.17,U
2025-09-30 09:46:28,45.21,5800,45.2,U
2025-09-30 09:46:34,45.22,13800,45.3,D
2025-09-30 09:46:37,45.3,9600,45.22,U
2025-09-30 09:46:40,45.33,6600,45.3,U
2025-09-30 09:46:43,45.32,19900,45.33,E
2025-09-30 09:46:46,45.53,4400,45.32,U
2025-09-30 09:46:55,45.48,5300,45.49,D
2025-09-30 09:46:58,45.35,7800,45.48,D
2025-09-30 09:47:01,45.46,12700,45.35,U
2025-09-30 09:47:10,45.41,5100,45.36,U
2025-09-30 09:47:13,45.51,16400,45.41,U
2025-09-30 09:47:16,45.54,14100,45.51,U
2025-09-30 09:47:22,45.77,13700,45.72,U
2025-09-30 09:47:28,45.85,13000,45.8,U
2025-09-30 09:47:31,45.9,10100,45.85,U
2025-09-30 09:47:37,45.95,14300,45.95,U
2025-09-30 09:47:40,46.0,10300,45.95,U
2025-09-30 09:47:43,45.98,17100,46.0,E
2025-09-30 09:47:46,45.9,13100,45.98,D
2025-09-30 09:47:49,45.77,15200,45.9,D
2025-09-30 09:47:52,45.77,107900,45.77,U
2025-09-30 09:47:55,45.88,24600,45.77,E
2025-09-30 09:47:58,46.0,5500,45.88,U
2025-09-30 09:48:01,45.95,6500,46.0,D
2025-09-30 09:48:04,45.95,10200,45.95,U
2025-09-30 09:48:07,45.77,12700,45.95,D
2025-09-30 09:48:10,45.94,7600,45.77,U
2025-09-30 09:48:13,45.84,7500,45.94,D
2025-09-30 09:48:19,45.9,9300,45.92,E
2025-09-30 09:48:22,45.84,13900,45.9,D
2025-09-30 09:48:28,45.73,4900,45.82,D
2025-09-30 09:48:34,45.52,4400,45.52,D
2025-09-30 09:48:37,45.53,12500,45.52,E
2025-09-30 09:48:40,45.62,8800,45.53,U
2025-09-30 09:48:43,45.64,7900,45.62,E
2025-09-30 09:48:55,45.69,14100,45.65,E
2025-09-30 09:49:01,45.52,11000,45.6,D
2025-09-30 09:49:04,45.57,22200,45.52,U
2025-09-30 09:49:10,45.45,4500,45.45,U
2025-09-30 09:49:13,45.4,8700,45.45,D
2025-09-30 09:49:37,45.36,54060,45.23,U
2025-09-30 09:49:40,45.4,5100,45.36,U
2025-09-30 09:49:43,45.41,5900,45.4,U
2025-09-30 09:49:52,45.42,14400,45.47,D
2025-09-30 09:49:55,45.4,4600,45.42,D
2025-09-30 09:49:58,45.4,9200,45.4,U
2025-09-30 09:50:01,45.37,7800,45.4,U
2025-09-30 09:50:07,45.28,5100,45.3,D
2025-09-30 09:50:13,45.32,21600,45.25,U
2025-09-30 09:50:19,45.37,10700,45.37,D
2025-09-30 09:50:22,45.36,5300,45.37,D
2025-09-30 09:50:28,45.28,7800,45.34,D
2025-09-30 09:50:31,45.28,29000,45.28,U
2025-09-30 09:50:34,45.18,4900,45.28,D
2025-09-30 09:50:40,45.25,23800,45.12,U
2025-09-30 09:50:43,45.28,16700,45.25,U
2025-09-30 09:50:55,45.19,6800,45.2,D
2025-09-30 09:51:01,44.83,17500,45.11,D
2025-09-30 09:51:10,45.05,8100,45.06,E
2025-09-30 09:51:19,45.04,12500,45.06,D
2025-09-30 09:51:22,44.96,5300,45.04,D
2025-09-30 09:51:25,44.83,5300,44.96,D
2025-09-30 09:51:28,44.83,7100,44.83,D
2025-09-30 09:51:37,44.79,20400,44.83,E
2025-09-30 09:51:58,44.85,7600,44.85,D
2025-09-30 09:52:01,44.84,12500,44.85,D
2025-09-30 09:52:04,44.75,10600,44.84,D
2025-09-30 09:52:07,44.8,4800,44.75,U
2025-09-30 09:52:10,44.79,10100,44.8,E
2025-09-30 09:52:34,44.84,12800,44.87,D
2025-09-30 09:52:40,44.83,7400,44.83,U
2025-09-30 09:52:55,44.76,35500,44.83,D
2025-09-30 09:52:58,44.71,13100,44.76,D
2025-09-30 09:53:01,44.69,6700,44.71,D
2025-09-30 09:53:04,44.62,11800,44.69,D
2025-09-30 09:53:07,44.6,6500,44.62,D
2025-09-30 09:53:43,44.67,4600,44.67,U
2025-09-30 09:54:10,44.91,6200,44.83,U
2025-09-30 09:54:16,45.11,12800,45.08,U
2025-09-30 09:54:22,45.2,14400,45.12,U
2025-09-30 09:54:25,45.2,8500,45.2,D
2025-09-30 09:54:31,45.28,8200,45.25,U
2025-09-30 09:54:43,45.25,4900,45.25,D
2025-09-30 09:54:52,45.2,9099,45.25,D
2025-09-30 09:54:55,45.17,26200,45.2,D
2025-09-30 09:55:04,45.03,27300,45.03,D
2025-09-30 09:55:07,45.26,7900,45.03,U
2025-09-30 09:55:40,45.28,5100,45.23,U
2025-09-30 09:55:43,45.33,34200,45.28,U
2025-09-30 09:55:58,45.58,17800,45.47,U
2025-09-30 09:56:04,45.6,24700,45.6,U
2025-09-30 09:56:07,45.6,9200,45.6,U
2025-09-30 09:56:10,45.55,6500,45.6,D
2025-09-30 09:56:13,45.69,41100,45.55,U
2025-09-30 09:56:19,45.57,7300,45.56,D
2025-09-30 09:56:28,45.64,5700,45.6,U
2025-09-30 09:56:37,45.62,5400,45.64,D
2025-09-30 09:56:40,45.62,5600,45.62,U
2025-09-30 09:56:43,45.57,14200,45.62,D
2025-09-30 09:56:46,45.64,13600,45.57,D
2025-09-30 09:56:49,45.65,11500,45.64,E
2025-09-30 09:57:01,45.59,14900,45.62,D
2025-09-30 09:57:10,45.45,9800,45.44,U
2025-09-30 09:57:16,45.33,5500,45.32,E
2025-09-30 09:57:22,45.4,4800,45.27,U
2025-09-30 09:57:28,45.46,9600,45.4,U
2025-09-30 09:57:34,45.46,5600,45.47,D
2025-09-30 09:57:37,45.46,10900,45.46,D
2025-09-30 09:57:43,45.47,5100,45.46,E
2025-09-30 09:57:46,45.44,10500,45.47,D
2025-09-30 09:57:52,45.43,4600,45.44,D
2025-09-30 09:58:07,45.41,5300,45.4,U
2025-09-30 09:58:19,45.41,9200,45.34,U
2025-09-30 09:59:13,45.41,4600,45.41,U
2025-09-30 09:59:16,45.6,27000,45.41,U
2025-09-30 09:59:25,45.55,6700,45.61,D
2025-09-30 09:59:28,45.63,5100,45.55,U
2025-09-30 09:59:31,45.66,11600,45.63,U
2025-09-30 09:59:46,45.68,7100,45.69,E
2025-09-30 09:59:49,45.69,13300,45.68,U
2025-09-30 10:00:01,45.63,4600,45.63,D
2025-09-30 10:00:22,45.62,6000,45.58,U
2025-09-30 10:00:25,45.69,13900,45.62,U
2025-09-30 10:00:28,45.74,6300,45.69,U
2025-09-30 10:00:46,45.77,6600,45.78,D
2025-09-30 10:00:52,45.69,8500,45.75,D
2025-09-30 10:00:58,45.73,18000,45.69,U
2025-09-30 10:01:22,45.76,8400,45.75,U
2025-09-30 10:01:25,45.75,4900,45.76,E
2025-09-30 10:01:34,45.74,6300,45.69,U
2025-09-30 10:01:43,45.73,4800,45.69,U
2025-09-30 10:02:34,45.59,7100,45.6,D
2025-09-30 10:02:49,45.5,6600,45.5,D
2025-09-30 10:02:55,45.47,17200,45.5,D
2025-09-30 10:02:58,45.56,8200,45.47,U
2025-09-30 10:03:13,45.69,20100,45.62,U
2025-09-30 10:03:16,45.73,5000,45.69,U
2025-09-30 10:03:22,45.72,6700,45.72,U
2025-09-30 10:04:10,45.7,8000,45.67,U
2025-09-30 10:04:13,45.72,4500,45.7,U
2025-09-30 10:04:25,45.74,4500,45.73,U
2025-09-30 10:05:10,45.66,5800,45.64,U
2025-09-30 10:05:16,45.61,6300,45.63,D
2025-09-30 10:05:22,45.66,9800,45.66,U
2025-09-30 10:05:34,45.69,5700,45.7,U
2025-09-30 10:05:46,45.66,5100,45.68,D
2025-09-30 10:06:22,45.69,5200,45.69,U
2025-09-30 10:06:37,45.73,29000,45.69,U
2025-09-30 10:06:40,45.72,22300,45.73,D
2025-09-30 10:07:01,45.71,5000,45.72,D
2025-09-30 10:07:22,45.6,5800,45.62,D
2025-09-30 10:07:46,45.53,5000,45.53,U
2025-09-30 10:07:58,45.52,4500,45.51,D
2025-09-30 10:09:58,45.65,5500,45.65,U
2025-09-30 10:10:19,45.66,12000,45.63,U
2025-09-30 10:10:25,45.65,5800,45.66,D
2025-09-30 10:11:58,45.63,4600,45.6,U
2025-09-30 10:13:04,45.69,14300,45.59,U
2025-09-30 10:13:07,45.71,7500,45.69,U
2025-09-30 10:13:16,45.7,5800,45.7,D
2025-09-30 10:13:22,45.72,6000,45.72,U
2025-09-30 10:13:25,45.75,4400,45.72,U
2025-09-30 10:13:34,45.77,17600,45.75,U
2025-09-30 10:13:37,45.8,32500,45.77,U
2025-09-30 10:13:40,45.84,23500,45.8,U
2025-09-30 10:13:43,45.9,7600,45.84,U
2025-09-30 10:13:46,45.9,7100,45.9,U
2025-09-30 10:13:55,45.99,9900,45.97,U
2025-09-30 10:14:01,45.99,14900,45.99,U
2025-09-30 10:14:07,46.0,36300,46.0,U
2025-09-30 10:14:10,46.0,14700,46.0,U
2025-09-30 10:14:19,46.03,4900,46.03,U
2025-09-30 10:14:28,45.85,26900,46.06,D
2025-09-30 10:14:55,46.05,10400,46.05,U
2025-09-30 10:15:13,46.09,4600,46.09,D
2025-09-30 10:15:19,46.11,7400,46.08,U
2025-09-30 10:15:28,46.2,9700,46.15,U
2025-09-30 10:15:31,46.21,12800,46.2,U
2025-09-30 10:15:34,46.21,8600,46.21,U
2025-09-30 10:15:37,46.46,8300,46.21,U
2025-09-30 10:15:43,46.39,23700,46.41,E
2025-09-30 10:15:46,46.48,8400,46.39,U
2025-09-30 10:15:49,46.47,8600,46.48,D
2025-09-30 10:15:52,46.5,22700,46.47,U
2025-09-30 10:16:01,46.53,34100,46.57,D
2025-09-30 10:16:04,46.44,9200,46.53,D
2025-09-30 10:16:10,46.42,4500,46.44,U
2025-09-30 10:16:19,45.9,13300,46.31,D
2025-09-30 10:16:34,46.31,15500,46.3,U
2025-09-30 10:16:43,46.26,12900,46.31,D
2025-09-30 10:17:07,46.19,5900,46.19,D
2025-09-30 10:18:04,46.13,13200,46.14,E
2025-09-30 10:18:13,46.38,12000,46.21,U
2025-09-30 10:18:19,46.49,9000,46.49,U
2025-09-30 10:18:22,46.58,9400,46.49,U
2025-09-30 10:18:31,46.54,6500,46.6,D
2025-09-30 10:18:34,46.51,17600,46.54,D
2025-09-30 10:18:55,46.31,6300,46.35,D
2025-09-30 10:19:04,46.28,21400,46.24,U
2025-09-30 10:19:52,46.48,5400,46.48,U
2025-09-30 10:20:16,46.4,7100,46.42,D
2025-09-30 10:20:31,46.33,30800,46.33,D
2025-09-30 10:20:34,46.31,4800,46.33,D
2025-09-30 10:20:43,46.3,31000,46.31,D
2025-09-30 10:20:46,46.3,7900,46.3,D
2025-09-30 10:21:04,46.18,14100,46.17,U
2025-09-30 10:21:13,46.36,8400,46.31,U
2025-09-30 10:21:22,46.33,7200,46.34,D
2025-09-30 10:22:01,46.31,16600,46.23,U
2025-09-30 10:22:13,46.31,6400,46.33,D
2025-09-30 10:22:16,46.27,4500,46.31,D
2025-09-30 10:22:22,46.27,11200,46.24,U
2025-09-30 10:22:28,46.25,4800,46.24,U
2025-09-30 10:22:31,46.26,5800,46.25,U
2025-09-30 10:22:43,46.31,17300,46.27,U
2025-09-30 10:22:46,46.33,28100,46.31,U
2025-09-30 10:23:04,46.21,44000,46.29,D
2025-09-30 10:23:07,46.14,8100,46.21,D
2025-09-30 10:23:10,46.11,5200,46.14,D
2025-09-30 10:23:13,46.13,33000,46.11,U
2025-09-30 10:23:34,46.01,18700,46.06,D
2025-09-30 10:24:04,46.0,10700,45.95,U
2025-09-30 10:24:10,46.04,5000,46.03,E
2025-09-30 10:24:37,46.05,13873,46.08,D
2025-09-30 10:25:34,46.15,4700,46.1,U
2025-09-30 10:26:37,46.01,11827,46.05,D
2025-09-30 10:27:40,45.97,8600,45.95,U
