股票代码: 688297
股票名称: 中无人机
所属板块: 航天航空
分时数据时间范围: 20250930 到 20251014
K线数据时间范围: 20250715 到 20251014
小时量能数据时间范围: 20250916 到 20251014

=== 分时成交数据 ===
ticktime,price,volume,prev_price,kind
2025-09-30 09:25:00,47.9,20831,0.0,U
2025-09-30 09:30:10,47.92,5354,47.93,D
2025-09-30 09:30:13,47.92,7612,47.92,D
2025-09-30 09:30:16,47.92,8417,47.92,D
2025-09-30 09:30:19,47.94,11000,47.92,E
2025-09-30 09:30:22,47.9,33641,47.94,D
2025-09-30 09:30:31,47.9,9349,47.92,D
2025-09-30 09:30:34,48.19,19417,47.9,U
2025-09-30 09:30:37,48.33,7800,48.19,U
2025-09-30 09:30:40,48.4,5063,48.33,U
2025-09-30 09:30:46,48.38,4665,48.4,D
2025-09-30 09:31:07,48.4,6872,48.39,U
2025-09-30 09:31:13,48.31,5427,48.31,U
2025-09-30 09:31:16,48.32,6151,48.31,U
2025-09-30 09:31:46,48.3,10318,48.3,U
2025-09-30 09:31:52,48.28,8410,48.28,U
2025-09-30 09:31:55,48.31,20904,48.28,U
2025-09-30 09:31:58,48.37,4301,48.31,U
2025-09-30 09:32:01,48.47,28437,48.37,U
2025-09-30 09:32:04,48.5,9731,48.47,U
2025-09-30 09:32:07,48.44,7701,48.5,D
2025-09-30 09:32:22,48.38,6607,48.43,D
2025-09-30 09:32:37,48.3,7163,48.27,U
2025-09-30 09:32:49,48.31,5200,48.35,D
2025-09-30 09:32:52,48.3,5403,48.31,D
2025-09-30 09:33:01,48.39,10307,48.36,U
2025-09-30 09:33:04,48.42,9394,48.39,U
2025-09-30 09:33:10,48.39,7610,48.39,D
2025-09-30 09:33:13,48.36,4300,48.39,D
2025-09-30 09:33:16,48.42,5712,48.36,U
2025-09-30 09:33:19,48.4,6800,48.42,U
2025-09-30 09:33:22,48.36,5804,48.4,D
2025-09-30 09:33:34,48.36,8376,48.36,U
2025-09-30 09:33:46,48.26,10497,48.3,D
2025-09-30 09:33:49,48.21,12346,48.26,D
2025-09-30 09:34:01,48.17,4166,48.18,D
2025-09-30 09:34:34,48.24,6686,48.25,D
2025-09-30 09:34:43,48.28,7222,48.25,U
2025-09-30 09:34:46,48.29,15486,48.28,U
2025-09-30 09:35:22,48.23,8644,48.23,D
2025-09-30 09:35:28,48.29,7204,48.27,U
2025-09-30 09:35:34,48.33,4703,48.3,U
2025-09-30 09:35:52,48.43,19834,48.42,U
2025-09-30 09:36:04,48.39,6639,48.4,D
2025-09-30 09:36:25,48.27,4500,48.33,D
2025-09-30 09:38:04,48.3,4499,48.36,D
2025-09-30 09:38:46,48.3,9720,48.32,D
2025-09-30 09:38:52,48.3,4613,48.3,D
2025-09-30 09:39:25,48.24,5681,48.25,D
2025-09-30 09:39:31,48.3,7520,48.25,U
2025-09-30 09:39:34,48.32,7317,48.3,U
2025-09-30 09:39:37,48.3,15900,48.32,E
2025-09-30 09:39:46,48.3,5548,48.32,D
2025-09-30 09:39:55,48.29,4430,48.27,U
2025-09-30 09:40:37,48.27,6702,48.25,U
2025-09-30 09:40:55,48.26,20456,48.25,U
2025-09-30 09:40:58,48.28,5846,48.26,U
2025-09-30 09:41:13,48.3,6659,48.29,U
2025-09-30 09:41:16,48.3,4988,48.3,U
2025-09-30 09:41:40,48.28,6647,48.28,D
2025-09-30 09:42:07,48.24,6100,48.24,D
2025-09-30 09:42:13,48.24,5390,48.25,D
2025-09-30 09:42:19,48.24,5436,48.24,D
2025-09-30 09:42:22,48.21,13690,48.24,D
2025-09-30 09:42:40,48.19,8619,48.2,D
2025-09-30 09:42:52,48.15,16373,48.15,D
2025-09-30 09:42:55,48.11,4833,48.15,D
2025-09-30 09:43:07,48.16,12489,48.16,U
2025-09-30 09:43:10,48.2,7974,48.16,U
2025-09-30 09:43:22,48.19,5937,48.22,D
2025-09-30 09:43:49,48.2,5758,48.19,D
2025-09-30 09:44:01,48.22,4252,48.23,E
2025-09-30 09:44:52,48.15,6399,48.15,U
2025-09-30 09:45:19,48.19,10831,48.15,U
2025-09-30 09:45:22,48.15,6785,48.19,D
2025-09-30 09:46:10,48.22,9895,48.16,U
2025-09-30 09:46:25,48.22,5000,48.17,U
2025-09-30 09:47:13,48.16,6300,48.2,D
2025-09-30 09:47:43,48.18,7981,48.17,E
2025-09-30 09:48:34,48.12,54782,48.18,D
2025-09-30 09:48:37,48.12,18432,48.12,D
2025-09-30 09:50:16,48.12,20442,48.08,U
2025-09-30 09:50:43,48.15,6524,48.15,U
2025-09-30 09:51:01,48.22,9576,48.19,U
2025-09-30 09:51:04,48.22,9076,48.22,D
2025-09-30 09:51:34,48.23,12362,48.2,U
2025-09-30 09:52:01,48.34,13136,48.26,U
2025-09-30 09:52:28,48.26,4937,48.33,D
2025-09-30 09:52:43,48.36,4577,48.33,U
2025-09-30 09:52:46,48.44,13101,48.36,U
