股票代码: 688777
股票名称: 中控技术
所属板块: 软件开发
分时数据时间范围: 20250929 到 20251013
K线数据时间范围: 20250714 到 20251013
小时量能数据时间范围: 20250915 到 20251013

=== 分时成交数据 ===
ticktime,price,volume,prev_price,kind
2025-09-29 09:25:00,52.39,78536,0.0,U
2025-09-29 09:30:03,52.38,4900,52.38,D
2025-09-29 09:30:06,52.39,90176,52.38,U
2025-09-29 09:30:09,52.39,5934,52.39,D
2025-09-29 09:30:12,52.45,20562,52.39,U
2025-09-29 09:30:15,52.44,6792,52.45,D
2025-09-29 09:30:18,52.43,6992,52.44,D
2025-09-29 09:30:21,52.39,4671,52.43,D
2025-09-29 09:30:24,52.33,17577,52.39,D
2025-09-29 09:30:27,52.33,20841,52.33,D
2025-09-29 09:30:30,52.38,14168,52.33,U
2025-09-29 09:30:33,52.42,25647,52.38,U
2025-09-29 09:30:36,52.43,8239,52.42,U
2025-09-29 09:30:39,52.46,6421,52.43,U
2025-09-29 09:30:42,52.5,14888,52.46,U
2025-09-29 09:30:45,52.5,17957,52.5,D
2025-09-29 09:30:54,52.59,14652,52.58,U
2025-09-29 09:30:57,52.6,15244,52.59,U
2025-09-29 09:31:03,52.61,16399,52.6,D
2025-09-29 09:31:06,52.6,20994,52.61,D
2025-09-29 09:31:09,52.61,9556,52.6,E
2025-09-29 09:31:12,52.7,35523,52.61,U
2025-09-29 09:31:15,52.76,4934,52.7,E
2025-09-29 09:31:18,52.75,5352,52.76,E
2025-09-29 09:31:21,52.76,12100,52.75,D
2025-09-29 09:31:24,52.8,4206,52.76,U
2025-09-29 09:31:27,52.8,3885,52.8,U
2025-09-29 09:31:30,52.7,18425,52.8,D
2025-09-29 09:31:33,52.76,19484,52.7,U
2025-09-29 09:31:36,52.76,3865,52.76,D
2025-09-29 09:31:42,52.71,26319,52.76,D
2025-09-29 09:31:45,52.76,14888,52.71,U
2025-09-29 09:31:48,52.74,11883,52.76,D
2025-09-29 09:31:51,52.71,11216,52.74,D
2025-09-29 09:31:54,52.74,25312,52.71,U
2025-09-29 09:31:57,52.8,23918,52.74,U
2025-09-29 09:32:00,52.85,6000,52.8,U
2025-09-29 09:32:03,52.84,32921,52.85,D
2025-09-29 09:32:06,52.85,6750,52.84,U
2025-09-29 09:32:12,52.8,21287,52.8,D
2025-09-29 09:32:15,52.78,12841,52.8,D
2025-09-29 09:32:18,52.88,55792,52.78,U
2025-09-29 09:32:21,52.82,7137,52.88,D
2025-09-29 09:32:24,52.9,32557,52.82,U
2025-09-29 09:32:27,52.9,32290,52.9,D
2025-09-29 09:32:30,52.9,5929,52.9,U
2025-09-29 09:32:33,52.84,17865,52.9,D
2025-09-29 09:32:39,52.88,16000,52.89,U
2025-09-29 09:32:45,52.84,17876,52.89,D
2025-09-29 09:32:48,52.89,8760,52.84,U
2025-09-29 09:32:51,52.88,6545,52.89,D
2025-09-29 09:32:54,52.9,8111,52.88,U
2025-09-29 09:32:57,52.89,7036,52.9,D
2025-09-29 09:33:06,52.9,11265,52.89,U
2025-09-29 09:33:09,52.88,12770,52.9,D
2025-09-29 09:33:12,52.9,5154,52.88,U
2025-09-29 09:33:15,52.9,6939,52.9,U
2025-09-29 09:33:18,52.89,14348,52.9,U
2025-09-29 09:33:21,52.9,5154,52.89,U
2025-09-29 09:33:24,52.9,40597,52.9,U
2025-09-29 09:33:27,52.94,61932,52.9,U
2025-09-29 09:33:30,52.93,17062,52.94,D
2025-09-29 09:33:33,52.9,5704,52.93,D
2025-09-29 09:33:39,52.85,82555,52.93,D
2025-09-29 09:33:42,52.88,10015,52.85,U
2025-09-29 09:33:45,52.9,5814,52.88,U
2025-09-29 09:33:54,52.83,6129,52.85,D
2025-09-29 09:33:57,52.89,4360,52.83,U
2025-09-29 09:34:03,52.77,11357,52.84,D
2025-09-29 09:34:09,52.71,13946,52.8,D
2025-09-29 09:34:21,52.75,4520,52.74,E
2025-09-29 09:34:24,52.75,7580,52.75,U
2025-09-29 09:34:27,52.76,8810,52.75,D
2025-09-29 09:34:30,52.77,44042,52.76,E
2025-09-29 09:34:33,52.77,10089,52.77,U
2025-09-29 09:34:36,52.77,4547,52.77,U
2025-09-29 09:34:39,52.71,12235,52.77,D
2025-09-29 09:34:42,52.77,9485,52.71,U
2025-09-29 09:34:54,52.65,5600,52.69,D
2025-09-29 09:35:03,52.72,10800,52.72,D
2025-09-29 09:35:06,52.8,19851,52.72,U
2025-09-29 09:35:18,52.81,17298,52.79,U
2025-09-29 09:35:21,52.82,11530,52.81,U
2025-09-29 09:35:24,52.82,9944,52.82,U
2025-09-29 09:35:27,52.84,12200,52.82,U
2025-09-29 09:35:33,52.83,6244,52.84,D
2025-09-29 09:35:36,52.83,18936,52.83,D
2025-09-29 09:35:39,52.84,5114,52.83,U
2025-09-29 09:35:42,52.75,7373,52.84,D
2025-09-29 09:35:45,52.75,5783,52.75,D
2025-09-29 09:35:51,52.78,9866,52.74,U
2025-09-29 09:35:54,52.71,65554,52.78,D
2025-09-29 09:35:57,52.72,24270,52.71,U
2025-09-29 09:36:00,52.66,5300,52.72,D
2025-09-29 09:36:06,52.7,5915,52.65,D
2025-09-29 09:36:18,52.66,32485,52.7,D
2025-09-29 09:36:24,52.65,4752,52.66,D
2025-09-29 09:36:27,52.71,30853,52.65,U
2025-09-29 09:36:30,52.7,10343,52.71,D
2025-09-29 09:36:36,52.76,117926,52.7,U
2025-09-29 09:36:51,52.81,24125,52.81,U
2025-09-29 09:36:54,52.85,20334,52.81,U
2025-09-29 09:37:03,52.88,30513,52.85,U
2025-09-29 09:37:06,52.86,8919,52.88,D
2025-09-29 09:37:09,52.79,15597,52.86,D
2025-09-29 09:37:12,52.82,15754,52.79,U
2025-09-29 09:37:15,52.77,36683,52.82,D
2025-09-29 09:37:18,52.76,5806,52.77,E
2025-09-29 09:37:24,52.85,4120,52.84,D
2025-09-29 09:37:27,52.87,43853,52.85,U
2025-09-29 09:37:30,52.87,22044,52.87,D
2025-09-29 09:37:33,52.88,6009,52.87,E
2025-09-29 09:37:42,52.95,11327,52.87,U
2025-09-29 09:37:51,52.98,4100,52.98,U
2025-09-29 09:37:54,52.98,8786,52.98,U
2025-09-29 09:37:57,52.98,14413,52.98,D
2025-09-29 09:38:00,52.98,17100,52.98,D
2025-09-29 09:38:03,53.02,22619,52.98,U
2025-09-29 09:38:06,52.98,19652,53.02,D
2025-09-29 09:38:09,53.0,14479,52.98,U
2025-09-29 09:38:12,53.0,5557,53.0,U
2025-09-29 09:38:15,53.0,12751,53.0,U
2025-09-29 09:38:18,53.0,17681,53.0,U
2025-09-29 09:38:21,53.0,9790,53.0,U
