股票代码: 920720
股票名称: 吉冈精密
所属板块: 通用设备
分时数据时间范围: 20250929 到 20251013
K线数据时间范围: 20250714 到 20251013
小时量能数据时间范围: 20250915 到 20251013

=== 分时成交数据 ===
ticktime,price,volume,prev_price,kind
2025-09-29 09:41:42,15.17,30518,15.17,U
2025-09-29 09:46:18,15.27,13128,15.25,U
2025-09-29 09:46:24,15.28,14890,15.28,U
2025-09-29 09:46:27,15.3,13121,15.28,U
2025-09-29 09:50:09,15.32,14933,15.32,D
2025-09-29 09:50:27,15.29,20371,15.32,D
2025-09-29 10:15:09,15.4,15500,15.45,D
2025-09-29 10:27:33,15.47,13597,15.45,U
2025-09-29 10:28:09,15.5,14300,15.49,U
2025-09-29 10:34:03,15.4,30096,15.41,D
2025-09-29 10:52:36,15.36,14007,15.4,D
2025-09-29 10:55:24,15.34,22683,15.36,D
2025-09-29 10:55:30,15.34,17973,15.34,U
2025-09-29 10:56:00,15.33,63729,15.33,U
2025-09-29 10:56:54,15.36,15283,15.36,U
2025-09-29 11:20:42,15.31,18660,15.32,D
2025-09-29 13:09:33,15.17,27000,15.21,D
2025-09-29 13:10:21,15.15,15764,15.17,D
2025-09-29 14:10:57,15.29,16421,15.31,D
2025-09-29 14:15:03,15.27,33900,15.27,U
2025-09-29 14:15:09,15.25,23450,15.27,D
2025-09-29 14:30:30,15.39,20633,15.38,U
2025-09-29 14:53:12,15.31,14966,15.25,U
2025-09-29 14:53:18,15.3,17376,15.31,D
2025-09-29 14:54:03,15.29,13400,15.28,U
2025-09-29 14:55:00,15.24,16100,15.27,D
2025-09-29 14:55:18,15.24,22947,15.25,D
2025-09-29 14:55:48,15.29,17601,15.29,D
2025-09-29 15:00:03,15.25,45632,15.29,D
2025-09-30 09:34:53,15.37,12024,15.37,D
2025-09-30 09:39:32,15.37,13566,15.37,D
2025-09-30 09:41:44,15.37,12714,15.37,D
2025-09-30 09:42:47,15.34,14316,15.35,D
2025-09-30 09:47:29,15.27,19364,15.24,E
2025-09-30 10:06:50,15.26,13626,15.28,D
2025-09-30 10:07:29,15.25,13250,15.25,D
2025-09-30 10:12:59,15.27,16226,15.25,U
2025-09-30 10:13:32,15.27,18994,15.27,U
2025-09-30 10:33:44,15.28,11992,15.28,U
2025-09-30 10:53:59,15.29,12707,15.28,U
2025-09-30 13:00:14,15.35,18483,15.35,D
2025-09-30 13:31:23,15.45,16537,15.42,U
2025-09-30 13:31:26,15.47,12333,15.45,U
2025-09-30 13:36:44,15.44,14299,15.46,D
2025-09-30 14:11:29,15.38,41349,15.39,D
2025-09-30 14:27:47,15.43,12928,15.4,U
2025-09-30 14:27:56,15.46,50453,15.44,U
2025-09-30 14:28:05,15.51,40733,15.47,U
2025-09-30 14:33:05,15.37,15704,15.38,D
2025-09-30 14:36:38,15.36,15651,15.38,D
2025-09-30 14:41:23,15.36,14800,15.37,D
2025-09-30 14:42:50,15.36,11769,15.36,D
