
开始回测股票: 688776 - 国光电气
交易时间: 2025-02-24 09:31:00 | 类型: 买入 | 价格: 55.13 | 数量: 300 | 成交额: 16539.93 | 印花税: 0.00 | 佣金: 4.96 | 盈亏: 0.00
交易时间: 2025-02-24 09:34:00 | 类型: 买入 | 价格: 54.58 | 数量: 300 | 成交额: 16374.53 | 印花税: 0.00 | 佣金: 4.91 | 盈亏: 0.00
交易时间: 2025-02-24 09:34:00 | 类型: 买入 | 价格: 54.04 | 数量: 300 | 成交额: 16210.79 | 印花税: 0.00 | 佣金: 4.86 | 盈亏: 0.00
交易时间: 2025-02-24 09:34:00 | 类型: 卖出 | 价格: 54.58 | 数量: 300 | 成交额: 16372.89 | 印花税: 16.37 | 佣金: 4.91 | 盈亏: -334.11
交易时间: 2025-02-24 09:34:00 | 类型: 买入 | 价格: 54.03 | 数量: 300 | 成交额: 16209.16 | 印花税: 0.00 | 佣金: 4.86 | 盈亏: 0.00
交易时间: 2025-02-24 09:34:00 | 类型: 卖出 | 价格: 54.57 | 数量: 300 | 成交额: 16371.26 | 印花税: 16.37 | 佣金: 4.91 | 盈亏: -335.74
交易时间: 2025-02-24 09:34:00 | 类型: 买入 | 价格: 54.03 | 数量: 300 | 成交额: 16207.54 | 印花税: 0.00 | 佣金: 4.86 | 盈亏: 0.00
交易时间: 2025-02-24 09:34:00 | 类型: 卖出 | 价格: 54.57 | 数量: 300 | 成交额: 16369.62 | 印花税: 16.37 | 佣金: 4.91 | 盈亏: -337.38
交易时间: 2025-02-24 09:34:00 | 类型: 买入 | 价格: 54.02 | 数量: 300 | 成交额: 16205.92 | 印花税: 0.00 | 佣金: 4.86 | 盈亏: 0.00
交易时间: 2025-02-24 09:34:00 | 类型: 卖出 | 价格: 54.56 | 数量: 300 | 成交额: 16367.98 | 印花税: 16.37 | 佣金: 4.91 | 盈亏: -339.02
交易时间: 2025-02-24 09:34:00 | 类型: 买入 | 价格: 54.01 | 数量: 300 | 成交额: 16204.30 | 印花税: 0.00 | 佣金: 4.86 | 盈亏: 0.00
交易时间: 2025-02-24 09:34:00 | 类型: 卖出 | 价格: 54.55 | 数量: 300 | 成交额: 16366.35 | 印花税: 16.37 | 佣金: 4.91 | 盈亏: -340.65
交易时间: 2025-02-24 09:34:00 | 类型: 买入 | 价格: 54.01 | 数量: 300 | 成交额: 16202.68 | 印花税: 0.00 | 佣金: 4.86 | 盈亏: 0.00
交易时间: 2025-02-24 09:34:00 | 类型: 卖出 | 价格: 54.55 | 数量: 300 | 成交额: 16364.71 | 印花税: 16.36 | 佣金: 4.91 | 盈亏: -342.29
交易时间: 2025-02-24 09:34:00 | 类型: 买入 | 价格: 54.00 | 数量: 300 | 成交额: 16201.06 | 印花税: 0.00 | 佣金: 4.86 | 盈亏: 0.00
交易时间: 2025-02-24 09:34:00 | 类型: 卖出 | 价格: 54.54 | 数量: 300 | 成交额: 16363.07 | 印花税: 16.36 | 佣金: 4.91 | 盈亏: -343.93
交易时间: 2025-02-24 09:44:00 | 类型: 卖出 | 价格: 55.09 | 数量: 300 | 成交额: 16526.70 | 印花税: 16.53 | 佣金: 4.96 | 盈亏: -180.30
交易时间: 2025-02-24 09:58:00 | 类型: 卖出 | 价格: 55.64 | 数量: 300 | 成交额: 16691.97 | 印花税: 16.69 | 佣金: 5.01 | 盈亏: -15.03
交易时间: 2025-02-24 10:05:00 | 类型: 卖出 | 价格: 56.20 | 数量: 300 | 成交额: 16858.89 | 印花税: 16.86 | 佣金: 5.06 | 盈亏: 151.89
交易时间: 2025-02-24 10:06:00 | 类型: 卖出 | 价格: 56.76 | 数量: 300 | 成交额: 17027.48 | 印花税: 17.03 | 佣金: 5.11 | 盈亏: 320.48
交易时间: 2025-02-24 10:08:00 | 类型: 卖出 | 价格: 57.33 | 数量: 300 | 成交额: 17197.75 | 印花税: 17.20 | 佣金: 5.16 | 盈亏: 490.75
交易时间: 2025-02-24 10:29:00 | 类型: 买入 | 价格: 56.75 | 数量: 300 | 成交额: 17025.78 | 印花税: 0.00 | 佣金: 5.11 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 57.32 | 数量: 300 | 成交额: 17196.03 | 印花税: 17.20 | 佣金: 5.16 | 盈亏: 489.03
交易时间: 2025-02-24 13:05:00 | 类型: 买入 | 价格: 56.75 | 数量: 300 | 成交额: 17024.07 | 印花税: 0.00 | 佣金: 5.11 | 盈亏: 0.00
交易时间: 2025-02-24 13:51:00 | 类型: 卖出 | 价格: 57.31 | 数量: 300 | 成交额: 17194.31 | 印花税: 17.19 | 佣金: 5.16 | 盈亏: 487.31
交易时间: 2025-02-24 14:04:00 | 类型: 买入 | 价格: 56.74 | 数量: 300 | 成交额: 17022.37 | 印花税: 0.00 | 佣金: 5.11 | 盈亏: 0.00
交易时间: 2025-02-24 14:18:00 | 类型: 卖出 | 价格: 57.31 | 数量: 300 | 成交额: 17192.59 | 印花税: 17.19 | 佣金: 5.16 | 盈亏: 485.59
交易时间: 2025-02-24 14:55:00 | 类型: 卖出 | 价格: 57.88 | 数量: 300 | 成交额: 17364.52 | 印花税: 17.36 | 佣金: 5.21 | 盈亏: 657.52
交易时间: 2025-02-25 09:31:00 | 类型: 买入 | 价格: 57.30 | 数量: 300 | 成交额: 17190.88 | 印花税: 0.00 | 佣金: 5.16 | 盈亏: 0.00
交易时间: 2025-02-25 09:31:00 | 类型: 买入 | 价格: 56.73 | 数量: 300 | 成交额: 17018.97 | 印花税: 0.00 | 佣金: 5.11 | 盈亏: 0.00
交易时间: 2025-02-25 09:32:00 | 类型: 卖出 | 价格: 57.30 | 数量: 300 | 成交额: 17189.16 | 印花税: 17.19 | 佣金: 5.16 | 盈亏: 482.16
交易时间: 2025-02-25 09:36:00 | 类型: 卖出 | 价格: 57.87 | 数量: 300 | 成交额: 17361.05 | 印花税: 17.36 | 佣金: 5.21 | 盈亏: 654.05
交易时间: 2025-02-25 09:54:00 | 类型: 买入 | 价格: 57.29 | 数量: 300 | 成交额: 17187.44 | 印花税: 0.00 | 佣金: 5.16 | 盈亏: 0.00
交易时间: 2025-02-25 09:58:00 | 类型: 卖出 | 价格: 57.86 | 数量: 300 | 成交额: 17359.31 | 印花税: 17.36 | 佣金: 5.21 | 盈亏: 652.31
交易时间: 2025-02-25 10:20:00 | 类型: 卖出 | 价格: 58.44 | 数量: 300 | 成交额: 17532.90 | 印花税: 17.53 | 佣金: 5.26 | 盈亏: 825.90
交易时间: 2025-02-25 10:26:00 | 类型: 卖出 | 价格: 59.03 | 数量: 300 | 成交额: 17708.23 | 印花税: 17.71 | 佣金: 5.31 | 盈亏: 1001.23
交易时间: 2025-02-25 10:28:00 | 类型: 卖出 | 价格: 59.62 | 数量: 300 | 成交额: 17885.32 | 印花税: 17.89 | 佣金: 5.37 | 盈亏: 1178.32
交易时间: 2025-02-25 10:34:00 | 类型: 卖出 | 价格: 60.21 | 数量: 300 | 成交额: 18064.17 | 印花税: 18.06 | 佣金: 5.42 | 盈亏: 1357.17
交易时间: 2025-02-25 11:02:00 | 类型: 卖出 | 价格: 60.82 | 数量: 300 | 成交额: 18244.81 | 印花税: 18.24 | 佣金: 5.47 | 盈亏: 1537.81
交易时间: 2025-02-25 11:04:00 | 类型: 卖出 | 价格: 61.42 | 数量: 300 | 成交额: 18427.26 | 印花税: 18.43 | 佣金: 5.53 | 盈亏: 1720.26
交易时间: 2025-02-25 11:14:00 | 类型: 买入 | 价格: 60.81 | 数量: 300 | 成交额: 18242.99 | 印花税: 0.00 | 佣金: 5.47 | 盈亏: 0.00
交易时间: 2025-02-25 11:21:00 | 类型: 买入 | 价格: 60.20 | 数量: 300 | 成交额: 18060.56 | 印花税: 0.00 | 佣金: 5.42 | 盈亏: 0.00
交易时间: 2025-02-25 11:25:00 | 类型: 卖出 | 价格: 60.80 | 数量: 300 | 成交额: 18241.16 | 印花税: 18.24 | 佣金: 5.47 | 盈亏: 1534.16
交易时间: 2025-02-25 13:07:00 | 类型: 卖出 | 价格: 61.41 | 数量: 300 | 成交额: 18423.57 | 印花税: 18.42 | 佣金: 5.53 | 盈亏: 1716.57
交易时间: 2025-02-25 13:32:00 | 类型: 卖出 | 价格: 62.03 | 数量: 300 | 成交额: 18607.81 | 印花税: 18.61 | 佣金: 5.58 | 盈亏: 1900.81
交易时间: 2025-02-25 13:33:00 | 类型: 卖出 | 价格: 62.65 | 数量: 300 | 成交额: 18793.89 | 印花税: 18.79 | 佣金: 5.64 | 盈亏: 2086.89
交易时间: 2025-02-25 13:33:00 | 类型: 买入 | 价格: 62.02 | 数量: 300 | 成交额: 18605.95 | 印花税: 0.00 | 佣金: 5.58 | 盈亏: 0.00
交易时间: 2025-02-25 13:33:00 | 类型: 卖出 | 价格: 62.64 | 数量: 300 | 成交额: 18792.01 | 印花税: 18.79 | 佣金: 5.64 | 盈亏: 2085.01
交易时间: 2025-02-25 13:33:00 | 类型: 买入 | 价格: 62.01 | 数量: 300 | 成交额: 18604.09 | 印花税: 0.00 | 佣金: 5.58 | 盈亏: 0.00
交易时间: 2025-02-25 13:33:00 | 类型: 卖出 | 价格: 62.63 | 数量: 300 | 成交额: 18790.13 | 印花税: 18.79 | 佣金: 5.64 | 盈亏: 2083.13
交易时间: 2025-02-25 13:33:00 | 类型: 买入 | 价格: 62.01 | 数量: 300 | 成交额: 18602.23 | 印花税: 0.00 | 佣金: 5.58 | 盈亏: 0.00
交易时间: 2025-02-25 13:33:00 | 类型: 卖出 | 价格: 62.63 | 数量: 300 | 成交额: 18788.25 | 印花税: 18.79 | 佣金: 5.64 | 盈亏: 2081.25
交易时间: 2025-02-25 13:33:00 | 类型: 买入 | 价格: 62.00 | 数量: 300 | 成交额: 18600.37 | 印花税: 0.00 | 佣金: 5.58 | 盈亏: 0.00
交易时间: 2025-02-25 13:33:00 | 类型: 卖出 | 价格: 62.62 | 数量: 300 | 成交额: 18786.37 | 印花税: 18.79 | 佣金: 5.64 | 盈亏: 2079.37
交易时间: 2025-02-25 13:39:00 | 类型: 卖出 | 价格: 63.25 | 数量: 300 | 成交额: 18974.23 | 印花税: 18.97 | 佣金: 5.69 | 盈亏: 755.74
交易时间: 2025-02-25 13:41:00 | 类型: 卖出 | 价格: 63.88 | 数量: 300 | 成交额: 19163.98 | 印花税: 19.16 | 佣金: 5.75 | 盈亏: 2624.05
交易时间: 2025-02-25 13:43:00 | 类型: 买入 | 价格: 63.24 | 数量: 300 | 成交额: 18972.34 | 印花税: 0.00 | 佣金: 5.69 | 盈亏: 0.00
交易时间: 2025-02-25 13:48:00 | 类型: 买入 | 价格: 62.61 | 数量: 300 | 成交额: 18782.61 | 印花税: 0.00 | 佣金: 5.63 | 盈亏: 0.00
交易时间: 2025-02-25 13:52:00 | 类型: 买入 | 价格: 61.98 | 数量: 300 | 成交额: 18594.79 | 印花税: 0.00 | 佣金: 5.58 | 盈亏: 0.00
交易时间: 2025-02-25 13:53:00 | 类型: 买入 | 价格: 61.36 | 数量: 300 | 成交额: 18408.84 | 印花税: 0.00 | 佣金: 5.52 | 盈亏: 0.00
交易时间: 2025-02-25 14:02:00 | 类型: 卖出 | 价格: 61.98 | 数量: 300 | 成交额: 18592.93 | 印花税: 18.59 | 佣金: 5.58 | 盈亏: 2218.40
交易时间: 2025-02-25 14:20:00 | 类型: 卖出 | 价格: 62.60 | 数量: 300 | 成交额: 18778.86 | 印花税: 18.78 | 佣金: 5.63 | 盈亏: 2568.07
交易时间: 2025-02-25 14:33:00 | 类型: 买入 | 价格: 61.97 | 数量: 300 | 成交额: 18591.07 | 印花税: 0.00 | 佣金: 5.58 | 盈亏: 0.00
交易时间: 2025-02-25 14:34:00 | 类型: 买入 | 价格: 61.35 | 数量: 300 | 成交额: 18405.16 | 印花税: 0.00 | 佣金: 5.52 | 盈亏: 0.00
交易时间: 2025-02-25 14:34:00 | 类型: 卖出 | 价格: 61.96 | 数量: 300 | 成交额: 18589.21 | 印花税: 18.59 | 佣金: 5.58 | 盈亏: 2380.05
交易时间: 2025-02-25 14:34:00 | 类型: 买入 | 价格: 61.34 | 数量: 300 | 成交额: 18403.32 | 印花税: 0.00 | 佣金: 5.52 | 盈亏: 0.00
交易时间: 2025-02-25 14:34:00 | 类型: 卖出 | 价格: 61.96 | 数量: 300 | 成交额: 18587.35 | 印花税: 18.59 | 佣金: 5.58 | 盈亏: 2379.81
交易时间: 2025-02-25 14:34:00 | 类型: 买入 | 价格: 61.34 | 数量: 300 | 成交额: 18401.48 | 印花税: 0.00 | 佣金: 5.52 | 盈亏: 0.00
交易时间: 2025-02-25 14:34:00 | 类型: 卖出 | 价格: 61.95 | 数量: 300 | 成交额: 18585.49 | 印花税: 18.59 | 佣金: 5.58 | 盈亏: 2379.57
交易时间: 2025-02-25 14:34:00 | 类型: 买入 | 价格: 61.33 | 数量: 300 | 成交额: 18399.64 | 印花税: 0.00 | 佣金: 5.52 | 盈亏: 0.00
交易时间: 2025-02-25 14:34:00 | 类型: 卖出 | 价格: 61.95 | 数量: 300 | 成交额: 18583.63 | 印花税: 18.58 | 佣金: 5.58 | 盈亏: 2379.33
交易时间: 2025-02-26 09:31:00 | 类型: 买入 | 价格: 61.33 | 数量: 300 | 成交额: 18397.80 | 印花税: 0.00 | 佣金: 5.52 | 盈亏: 0.00
交易时间: 2025-02-26 09:32:00 | 类型: 买入 | 价格: 60.71 | 数量: 300 | 成交额: 18213.82 | 印花税: 0.00 | 佣金: 5.46 | 盈亏: 0.00
交易时间: 2025-02-26 10:01:00 | 类型: 买入 | 价格: 60.11 | 数量: 300 | 成交额: 18031.68 | 印花税: 0.00 | 佣金: 5.41 | 盈亏: 0.00
交易时间: 2025-02-26 10:29:00 | 类型: 卖出 | 价格: 60.71 | 数量: 300 | 成交额: 18212.00 | 印花税: 18.21 | 佣金: 5.46 | 盈亏: 2009.32
交易时间: 2025-02-26 10:50:00 | 类型: 卖出 | 价格: 61.31 | 数量: 300 | 成交额: 18394.12 | 印花税: 18.39 | 佣金: 5.52 | 盈亏: 2193.06
交易时间: 2025-02-26 11:23:00 | 类型: 买入 | 价格: 60.70 | 数量: 300 | 成交额: 18210.18 | 印花税: 0.00 | 佣金: 5.46 | 盈亏: 0.00
交易时间: 2025-02-26 13:51:00 | 类型: 买入 | 价格: 60.09 | 数量: 300 | 成交额: 18028.08 | 印花税: 0.00 | 佣金: 5.41 | 盈亏: 0.00
交易时间: 2025-02-26 14:54:00 | 类型: 卖出 | 价格: 60.69 | 数量: 300 | 成交额: 18208.36 | 印花税: 18.21 | 佣金: 5.46 | 盈亏: 1182.58
