
开始回测股票: 605300 - 佳禾食品
交易时间: 2025-02-24 09:33:00 | 类型: 卖出 | 价格: 14.60 | 数量: 300 | 成交额: 4381.38 | 印花税: 4.38 | 佣金: 1.31 | 盈亏: 43.38
交易时间: 2025-02-24 09:35:00 | 类型: 买入 | 价格: 14.46 | 数量: 300 | 成交额: 4337.57 | 印花税: 0.00 | 佣金: 1.30 | 盈亏: 0.00
交易时间: 2025-02-24 09:46:00 | 类型: 卖出 | 价格: 14.60 | 数量: 300 | 成交额: 4380.94 | 印花税: 4.38 | 佣金: 1.31 | 盈亏: 42.94
交易时间: 2025-02-24 09:48:00 | 类型: 买入 | 价格: 14.46 | 数量: 300 | 成交额: 4337.13 | 印花税: 0.00 | 佣金: 1.30 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.60 | 数量: 300 | 成交额: 4380.50 | 印花税: 4.38 | 佣金: 1.31 | 盈亏: 42.50
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.75 | 数量: 300 | 成交额: 4424.31 | 印花税: 4.42 | 佣金: 1.33 | 盈亏: 86.31
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.60 | 数量: 300 | 成交额: 4380.07 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.75 | 数量: 300 | 成交额: 4423.87 | 印花税: 4.42 | 佣金: 1.33 | 盈亏: 85.87
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.60 | 数量: 300 | 成交额: 4379.63 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.74 | 数量: 300 | 成交额: 4423.42 | 印花税: 4.42 | 佣金: 1.33 | 盈亏: 85.42
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.60 | 数量: 300 | 成交额: 4379.19 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.74 | 数量: 300 | 成交额: 4422.98 | 印花税: 4.42 | 佣金: 1.33 | 盈亏: 84.98
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.60 | 数量: 300 | 成交额: 4378.75 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.74 | 数量: 300 | 成交额: 4422.54 | 印花税: 4.42 | 佣金: 1.33 | 盈亏: 84.54
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.59 | 数量: 300 | 成交额: 4378.31 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.74 | 数量: 300 | 成交额: 4422.10 | 印花税: 4.42 | 佣金: 1.33 | 盈亏: 84.10
